"Inequality-adjusted education index"
"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","0.225","0.232","0.235","0.216","0.219","0.219"
"75"," Albania","0.586","0.619","0.630","0.630","0.630","0.630"
"150"," Angola","0.309","","0.311","0.313","0.314","0.316"
"45"," Argentina","0.705","0.709","0.710","0.738","0.742","0.742"
"84"," Armenia","0.679","0.682","0.703","0.703","0.703","0.703"
"2"," Australia","0.912","0.916","0.920","0.922","0.921","0.921"
"24"," Austria","0.777","0.783","0.789","0.789","0.791","0.785"
"78"," Azerbaijan","0.607","0.639","0.645","0.652","0.663","0.663"
"58"," Bahamas","0.656","0.656","","0.656","",""
"139"," Bangladesh","0.235","0.268","0.274","0.282","0.281","0.287"
"54"," Barbados","","","","","0.731","0.730"
"52"," Belarus","0.762","0.787","0.791","0.794","0.802","0.804"
"22"," Belgium","0.776","0.772","0.766","0.754","0.773","0.773"
"103"," Belize","0.557","","","","0.592","0.592"
"167"," Benin","0.204","0.215","0.224","0.233","0.225","0.228"
"132"," Bhutan","","0.231","0.378","0.381","0.250","0.250"
"118"," Bolivia (Plurinational State of)","0.457","0.470","0.475","0.475","0.494","0.520"
"81"," Bosnia and Herzegovina","0.490","0.616","0.635","0.647","0.607","0.607"
"108"," Botswana","","","","0.447","0.447","0.447"
"79"," Brazil","0.459","0.465","0.473","0.500","0.518","0.527"
"56"," Bulgaria","0.687","0.708","0.710","0.725","0.735","0.735"
"185"," Burkina Faso","0.145","0.154","0.162","0.160","0.160","0.161"
"184"," Burundi","0.230","","","0.233","0.249","0.249"
"122"," Cabo Verde","0.353","0.356","","0.432","0.434","0.436"
"143"," Cambodia","0.305","0.308","0.324","0.327","0.329","0.333"
"153"," Cameroon","0.293","0.306","0.310","0.317","0.321","0.322"
"10"," Canada","0.837","0.840","0.843","0.840","0.856","0.856"
"188"," Central African Republic","0.179","0.183","0.183","0.183","0.222","0.221"
"186"," Chad","0.155","0.153","0.155","0.157","0.163","0.163"
"38"," Chile","0.654","0.655","0.657","0.673","0.685","0.719"
"90"," China","0.454","0.450","0.460","","",""
"95"," Colombia","0.453","0.467","0.480","0.487","0.495","0.520"
"160"," Comoros","0.228","0.234","0.241","0.247","0.246","0.246"
"135"," Congo","0.350","0.363","0.385","0.387","0.408","0.408"
"176"," Congo (Democratic Republic of the)","0.301","0.303","0.304","0.320","0.330","0.343"
"66"," Costa Rica","0.532","0.539","0.556","0.565","0.578","0.599"
"45"," Croatia","0.683","0.693","0.699","0.704","0.761","0.763"
"68"," Cuba","","","","0.694","0.691","0.694"
"33"," Cyprus","0.641","0.650","0.645","0.670","0.683","0.688"
"28"," Czech Republic","0.845","0.847","0.845","0.861","0.866","0.866"
"171"," Côte d'Ivoire","0.207","0.219","0.223","0.218","0.223","0.228"
"5"," Denmark","0.872","0.902","0.903","0.905","0.896","0.896"
"172"," Djibouti","0.157","0.163","0.164","0.165","0.165","0.165"
"99"," Dominican Republic","0.469","0.445","0.449","0.469","0.479","0.498"
"89"," Ecuador","0.483","0.489","0.498","0.522","0.525","0.562"
"111"," Egypt","0.317","0.335","0.344","0.351","0.353","0.390"
"117"," El Salvador","0.386","0.390","0.395","0.408","0.407","0.429"
"135"," Equatorial Guinea","0.310","0.310","","","",""
"30"," Estonia","0.829","0.849","0.852","0.853","0.855","0.856"
"174"," Ethiopia","0.189","0.193","0.193","0.176","0.176","0.202"
"91"," Fiji","0.649","","","0.684","0.695","0.695"
"23"," Finland","0.772","0.804","0.810","0.821","0.829","0.830"
"21"," France","0.739","0.741","0.743","0.754","0.766","0.776"
"109"," Gabon","0.556","0.560","0.564","0.473","0.473","0.473"
"173"," Gambia","0.186","","","","",""
"70"," Georgia","0.739","0.753","0.753","0.756","0.768","0.777"
"4"," Germany","0.878","0.886","0.889","0.888","0.892","0.891"
"139"," Ghana","0.488","0.318","0.323","0.356","0.346","0.358"
"29"," Greece","0.756","0.693","0.727","0.733","0.733","0.733"
"125"," Guatemala","0.292","0.300","0.290","0.293","0.324","0.324"
"183"," Guinea","0.165","0.176","0.183","0.189","0.171","0.171"
"178"," Guinea-Bissau","0.201","0.204","0.206","0.209","0.211","0.211"
"127"," Guyana","0.504","0.503","0.508","0.512","0.512","0.508"
"163"," Haiti","0.237","0.241","0.246","0.250","0.260","0.263"
"130"," Honduras","0.347","0.346","0.362","0.359","0.381","0.391"
"43"," Hungary","0.785","0.784","0.783","0.812","0.808","0.808"
"9"," Iceland","0.831","0.845","0.861","0.875","0.885","0.884"
"131"," India","0.284","0.292","0.292","0.298","0.304","0.324"
"113"," Indonesia","0.463","0.477","0.486","0.474","0.493","0.493"
"69"," Iran (Islamic Republic of)","","","","0.440","0.441","0.441"
"121"," Iraq","","","0.339","0.351","0.347","0.347"
"8"," Ireland","0.878","0.834","0.850","0.848","0.861","0.883"
"19"," Israel","0.784","0.790","0.792","0.797","0.784","0.796"
"26"," Italy","0.688","0.700","0.685","0.701","0.718","0.734"
"94"," Jamaica","0.617","0.618","0.603","0.604","0.639","0.640"
"17"," Japan","","","","0.669","0.675","0.675"
"86"," Jordan","0.520","0.535","0.539","0.539","0.583","0.583"
"56"," Kazakhstan","0.740","0.749","0.746","0.755","0.758","0.758"
"146"," Kenya","0.363","0.356","0.357","0.358","0.383","0.400"
"137"," Kiribati","","","","0.464","0.464","0.464"
"18"," Korea (Republic of)","0.638","0.641","0.641","0.623","0.646","0.645"
"120"," Kyrgyzstan","0.612","0.619","0.659","0.666","0.685","0.685"
"138"," Lao People's Democratic Republic","0.296","0.308","0.313","0.306","0.312","0.313"
"44"," Latvia","0.805","0.791","0.786","0.797","0.806","0.803"
"76"," Lebanon","","0.489","0.498","0.498","0.498","0.498"
"160"," Lesotho","0.369","0.377","0.382","0.379","0.380","0.380"
"177"," Liberia","0.215","0.218","0.222","0.225","0.227","0.242"
"37"," Lithuania","0.837","0.836","0.825","0.824","0.830","0.833"
"20"," Luxembourg","0.732","0.731","0.730","0.732","0.736","0.738"
"158"," Madagascar","0.335","0.341","0.344","0.344","0.320","0.320"
"170"," Malawi","0.285","0.288","0.309","0.310","0.311","0.320"
"105"," Maldives","0.438","0.302","0.312","0.323","0.336","0.337"
"175"," Mali","0.174","0.178","0.184","0.191","0.182","0.182"
"33"," Malta","","","0.684","0.727","0.724","0.734"
"157"," Mauritania","0.192","0.196","0.209","0.202","0.223","0.223"
"64"," Mauritius","","0.589","0.602","0.611","0.629","0.629"
"77"," Mexico","0.516","0.494","0.501","0.505","0.521","0.525"
"127"," Micronesia (Federated States of)","0.503","0.503","","","",""
"107"," Moldova (Republic of)","0.645","0.658","0.668","0.679","0.672","0.672"
"92"," Mongolia","0.690","0.691","0.670","0.698","0.668","0.668"
"48"," Montenegro","0.713","0.773","0.775","0.777","0.738","0.738"
"123"," Morocco","0.259","0.254","0.264","0.268","0.273","0.273"
"181"," Mozambique","0.266","0.298","0.297","0.298","0.243","0.244"
"145"," Myanmar","","","","0.331","0.331","0.330"
"125"," Namibia","0.380","0.384","0.388","0.392","0.394","0.410"
"144"," Nepal","0.251","0.258","0.263","0.265","0.278","0.267"
"7"," Netherlands","0.837","0.860","0.861","0.860","0.860","0.859"
"124"," Nicaragua","0.347","0.350","0.353","0.357","0.382","0.382"
"187"," Niger","0.124","0.115","0.121","0.122","0.134","0.134"
"152"," Nigeria","0.238","0.253","0.254","0.260","0.269","0.270"
"1"," Norway","0.884","0.888","0.887","0.892","0.895","0.894"
"147"," Pakistan","0.195","0.198","0.209","0.212","0.220","0.220"
"60"," Palau","","","","0.711","0.711","0.711"
"114"," Palestine, State of","","","","0.609","0.547","0.547"
"60"," Panama","0.602","0.548","0.555","0.573","0.576","0.597"
"154"," Papua New Guinea","","","","0.374","0.374","0.371"
"110"," Paraguay","0.480","0.483","","0.505","0.514","0.527"
"87"," Peru","0.463","0.508","0.507","0.500","0.515","0.536"
"116"," Philippines","0.543","0.543","0.546","0.549","0.563","0.563"
"36"," Poland","0.759","0.764","0.771","0.804","0.804","0.806"
"41"," Portugal","0.668","0.679","0.688","0.709","0.712","0.712"
"50"," Romania","0.685","0.743","0.730","0.731","0.728","0.734"
"49"," Russian Federation","0.702","0.710","","0.797","0.797","0.798"
"159"," Rwanda","0.277","0.286","0.300","0.300","0.300","0.301"
"92"," Saint Lucia","","","","","0.614","0.614"
"142"," Sao Tome and Principe","0.355","0.381","0.387","0.389","0.385","0.400"
"162"," Senegal","0.158","0.171","0.182","0.190","0.196","0.196"
"66"," Serbia","0.640","0.671","0.668","0.668","0.698","0.698"
"179"," Sierra Leone","0.181","0.188","0.192","0.191","0.189","0.197"
"40"," Slovakia","0.790","0.807","0.809","0.810","0.808","0.812"
"25"," Slovenia","0.829","0.835","0.836","0.868","0.863","0.863"
"156"," Solomon Islands","0.301","","","0.341","0.343","0.343"
"119"," South Africa","0.536","0.537","0.544","0.572","0.592","0.608"
"181"," South Sudan","","","","","0.179","0.180"
"27"," Spain","0.740","0.751","0.760","0.768","0.776","0.777"
"73"," Sri Lanka","0.606","0.610","0.636","0.641","0.656","0.656"
"165"," Sudan","","","","","0.182","0.182"
"97"," Suriname","0.481","0.486","0.503","0.507","0.510","0.510"
"148"," Swaziland","0.319","0.373","0.382","0.399","0.399","0.399"
"14"," Sweden","0.811","0.807","0.811","0.816","0.822","0.826"
"2"," Switzerland","0.863","0.865","0.867","0.838","0.841","0.840"
"149"," Syrian Arab Republic","0.372","0.380","0.391","0.313","0.299","0.286"
"129"," Tajikistan","0.594","0.593","0.576","0.578","0.615","0.615"
"151"," Tanzania (United Republic of)","0.300","0.282","0.308","0.293","0.301","0.315"
"87"," Thailand","0.503","0.517","0.521","0.538","0.538","0.538"
"82"," The former Yugoslav Republic of Macedonia","0.546","0.551","0.590","0.602","0.602","0.602"
"133"," Timor-Leste","0.275","0.260","0.259","0.259","0.259","0.259"
"166"," Togo","0.271","0.280","0.281","0.300","0.299","0.299"
"101"," Tonga","0.719","","","","",""
"65"," Trinidad and Tobago","0.662","0.664","0.667","0.669","0.670","0.670"
"97"," Tunisia","0.381","0.389","","","0.419","0.421"
"71"," Turkey","0.452","0.469","0.473","0.566","0.572","0.574"
"111"," Turkmenistan","0.561","","","","",""
"163"," Uganda","0.342","0.311","0.307","0.315","0.326","0.330"
"84"," Ukraine","0.771","0.746","0.751","0.752","0.774","0.774"
"16"," United Kingdom","0.872","0.856","0.854","0.866","0.871","0.871"
"10"," United States","0.863","0.864","0.851","0.839","0.852","0.850"
"54"," Uruguay","0.631","0.633","0.636","0.636","0.651","0.642"
"105"," Uzbekistan","0.689","0.698","0.707","0.719","0.728","0.729"
"134"," Vanuatu","","","","","0.434","0.434"
"71"," Venezuela (Bolivarian Republic of)","0.564","0.578","0.579","0.584","0.585","0.586"
"115"," Viet Nam","0.483","0.491","0.498","0.500","0.502","0.508"
"168"," Yemen","0.163","0.172","0.176","0.185","0.182","0.182"
"139"," Zambia","0.420","0.429","0.436","0.438","0.452","0.452"
"154"," Zimbabwe","0.418","0.411","0.450","0.447","0.450","0.450"
""
