"Inequality-adjusted income index"
"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","0.398","0.396","0.395"
"75"," Albania","0.586","0.563","0.565","0.568","0.568","0.571"
"150"," Angola","0.392","0.308","0.309","0.312","0.445","0.445"
"45"," Argentina","0.520","0.527","0.527","0.580","0.593","0.586"
"84"," Armenia","0.569","0.573","0.562","0.564","0.571","0.573"
"2"," Australia","0.754","0.755","0.759","0.760","0.751","0.753"
"24"," Austria","0.779","0.781","0.803","0.793","0.776","0.757"
"78"," Azerbaijan","0.725","0.719","0.720","0.731","0.702","0.702"
"58"," Bahamas","0.616","0.615","","0.613","",""
"139"," Bangladesh","0.422","0.414","0.420","0.371","0.375","0.380"
"54"," Barbados","0.635","","","","",""
"52"," Belarus","0.676","0.677","0.677","0.684","0.689","0.689"
"22"," Belgium","0.774","0.803","0.802","0.797","0.804","0.794"
"103"," Belize","0.332","","","0.403","0.404","0.403"
"167"," Benin","0.349","0.330","0.332","0.337","0.315","0.318"
"132"," Bhutan","","","0.486","0.476","0.515","0.517"
"118"," Bolivia (Plurinational State of)","0.273","0.317","0.317","0.390","0.395","0.396"
"81"," Bosnia and Herzegovina","0.474","0.555","0.555","0.558","0.552","0.556"
"108"," Botswana","","","","0.335","0.336","0.335"
"79"," Brazil","0.467","0.446","0.453","0.454","0.463","0.465"
"56"," Bulgaria","0.634","0.606","0.643","0.618","0.630","0.629"
"185"," Burkina Faso","0.303","0.300","0.310","0.311","0.310","0.313"
"184"," Burundi","0.221","","","0.260","0.259","0.251"
"122"," Cabo Verde","","","","0.443","0.445","0.446"
"143"," Cambodia","0.377","0.383","0.394","0.400","0.406","0.413"
"153"," Cameroon","0.392","0.394","0.395","0.382","0.387","0.391"
"10"," Canada","0.750","0.753","0.754","0.784","0.755","0.755"
"188"," Central African Republic","0.240","0.239","0.241","0.189","0.133","0.136"
"186"," Chad","0.350","0.346","0.352","0.352","0.312","0.313"
"38"," Chile","0.517","0.523","0.529","0.517","0.519","0.524"
"90"," China","0.484","0.492","0.500","0.507","0.515","0.521"
"95"," Colombia","0.396","0.327","0.397","0.422","0.455","0.444"
"160"," Comoros","0.181","","","","0.174","0.172"
"135"," Congo","0.450","0.401","0.409","0.412","0.477","0.477"
"176"," Congo (Democratic Republic of the)","0.204","0.168","0.172","0.189","0.203","0.208"
"66"," Costa Rica","0.483","0.487","0.459","0.488","0.489","0.492"
"45"," Croatia","0.575","0.578","0.576","0.657","0.659","0.660"
"33"," Cyprus","0.754","0.781","0.747","0.728","0.726","0.722"
"28"," Czech Republic","0.737","0.762","0.753","0.747","0.752","0.757"
"171"," Côte d'Ivoire","0.392","0.317","0.325","0.362","0.373","0.379"
"5"," Denmark","0.815","0.826","0.819","0.798","0.788","0.789"
"172"," Djibouti","0.391","0.395","0.397","0.401","0.406","0.410"
"99"," Dominican Republic","0.478","0.470","0.444","0.505","0.504","0.527"
"89"," Ecuador","0.523","0.424","0.427","0.477","0.488","0.492"
"111"," Egypt","0.584","0.594","0.595","0.594","0.594","0.444"
"117"," El Salvador","0.436","0.448","0.448","0.431","0.432","0.488"
"30"," Estonia","0.665","0.701","0.683","0.690","0.683","0.684"
"174"," Ethiopia","0.284","0.294","0.300","0.353","0.363","0.372"
"91"," Fiji","","","","0.508","0.513","0.516"
"23"," Finland","0.784","0.811","0.802","0.804","0.803","0.796"
"21"," France","0.771","0.773","0.777","0.769","0.772","0.752"
"109"," Gabon","0.587","0.588","0.599","0.618","0.630","0.631"
"173"," Gambia","0.282","","","0.303","0.300","0.302"
"70"," Georgia","0.468","0.498","0.488","0.492","0.516","0.514"
"4"," Germany","0.758","0.784","0.786","0.781","0.791","0.787"
"139"," Ghana","0.385","0.385","0.390","0.398","0.373","0.377"
"29"," Greece","0.685","0.696","0.683","0.695","0.661","0.657"
"125"," Guatemala","0.362","0.389","0.365","0.367","0.428","0.424"
"183"," Guinea","0.261","0.248","0.251","0.251","0.298","0.296"
"178"," Guinea-Bissau","0.265","0.270","0.264","0.265","0.265","0.267"
"127"," Guyana","0.490","0.421","0.474","0.477","0.480","0.483"
"163"," Haiti","0.213","0.217","0.218","0.218","0.219","0.219"
"130"," Honduras","0.339","0.320","0.363","0.302","0.293","0.336"
"43"," Hungary","0.690","0.720","0.712","0.709","0.716","0.704"
"9"," Iceland","0.762","0.779","0.767","0.785","0.781","0.789"
"131"," India","0.486","0.493","0.492","0.496","0.504","0.512"
"113"," Indonesia","0.568","0.554","0.560","0.565","0.572","0.576"
"69"," Iran (Islamic Republic of)","","","","0.410","0.412","0.412"
"121"," Iraq","","","","0.632","0.604","0.602"
"8"," Ireland","0.728","0.772","0.773","0.783","0.764","0.769"
"19"," Israel","0.653","0.658","0.658","0.695","0.650","0.639"
"26"," Italy","0.716","0.739","0.724","0.705","0.704","0.696"
"94"," Jamaica","0.503","0.505","0.467","0.466","0.466","0.467"
"17"," Japan","","","","0.772","0.773","0.774"
"86"," Jordan","0.570","0.552","0.550","0.550","0.555","0.554"
"56"," Kazakhstan","0.650","0.684","0.661","0.709","0.712","0.712"
"146"," Kenya","0.347","0.316","0.317","0.320","0.322","0.339"
"137"," Kiribati","","","","0.263","0.249","0.250"
"18"," Korea (Republic of)","0.705","0.709","0.712","0.714","0.718","0.720"
"120"," Kyrgyzstan","0.432","0.433","0.381","0.389","0.425","0.427"
"138"," Lao People's Democratic Republic","0.462","0.469","0.448","0.478","0.466","0.472"
"44"," Latvia","0.625","0.629","0.635","0.649","0.648","0.653"
"76"," Lebanon","","0.535","0.530","0.522","0.519","0.517"
"160"," Lesotho","0.298","0.268","0.268","0.277","0.278","0.280"
"177"," Liberia","0.224","0.233","0.233","0.238","0.226","0.224"
"37"," Lithuania","0.638","0.671","0.656","0.675","0.690","0.675"
"20"," Luxembourg","0.830","0.843","0.857","0.837","0.834","0.826"
"158"," Madagascar","0.320","0.251","0.250","0.249","0.311","0.310"
"170"," Malawi","0.285","0.287","0.272","0.268","0.260","0.242"
"59"," Malaysia","0.573","","","","",""
"105"," Maldives","0.550","0.531","0.531","0.534","0.539","0.539"
"175"," Mali","0.320","","","","0.388","0.393"
"33"," Malta","","","0.730","0.728","0.738","0.742"
"157"," Mauritania","0.415","0.415","0.405","0.423","0.425","0.424"
"64"," Mauritius","","0.641","0.645","0.623","0.625","0.628"
"77"," Mexico","0.521","0.492","0.494","0.501","0.502","0.506"
"127"," Micronesia (Federated States of)","0.198","0.199","","0.197","",""
"107"," Moldova (Republic of)","0.457","0.467","0.481","0.480","0.515","0.509"
