"International student mobility (% of total tertiary enrolment)"
"HDI Rank (2015)","Country","2000","2005","2010","2011","2012","2013"
"75"," Albania","-12.8","","","-17.8","-13.9","-12.1"
"83"," Algeria","","-2.5","-1.4","-1.5","-1.4","-1.1"
"32"," Andorra","","","","","","-182.3"
"62"," Antigua and Barbuda","","","-42.6","-49.2","-19.0",""
"45"," Argentina","-0.2","","","","",""
"84"," Armenia","","0.6","-1.5","-1.9","-2.1","-2.6"
"2"," Australia","11.9","16.4","20.4","19.0","17.5","17.1"
"24"," Austria","7.1","","15.9","15.7","11.4","13.1"
"78"," Azerbaijan","","","-4.7","-7.7","-6.6",""
"47"," Bahrain","","-13.5","","8.2","-4.7",""
"139"," Bangladesh","","-1.5","","","",""
"54"," Barbados","","","3.2","3.9","",""
"52"," Belarus","-1.0","-1.5","-4.6","-5.2","-5.0","-4.0"
"22"," Belgium","8.1","2.8","5.6","5.5","6.2","6.6"
"167"," Benin","","","4.3","","",""
"81"," Bosnia and Herzegovina","","","","-6.3","-4.9","-3.2"
"108"," Botswana","","-40.2","","-16.5","","-5.4"
"79"," Brazil","","","-0.2","-0.2","-0.2",""
"30"," Brunei Darussalam","-52.7","-45.9","-53.6","-46.1","-38.3",""
"56"," Bulgaria","-1.4","-7.2","-4.9","-4.9","-4.9","-4.6"
"185"," Burkina Faso","","-5.1","","-2.0","-2.1","-2.0"
"184"," Burundi","-11.4","","0.7","-4.4","2.9","-3.5"
"122"," Cabo Verde","","","","-24.8","-25.3","-34.5"
"153"," Cameroon","","-14.3","-8.7","-8.0","",""
"10"," Canada","0.5","","","","",""
"188"," Central African Republic","","","","","6.2",""
"186"," Chad","","","","-11.9","",""
"38"," Chile","-0.4","-0.9","0.1","-0.7","-0.5","-0.5"
"90"," China","","","-1.6","-1.8","-1.9","-1.8"
"160"," Comoros","","","-95.6","-71.1","-70.5",""
"135"," Congo","","","","-27.5","","-20.9"
"176"," Congo (Democratic Republic of the)","","","","-0.6","","-0.1"
"45"," Croatia","","-7.4","-6.1","-6.0","-5.2",""
"68"," Cuba","2.8","2.8","3.5","3.8","4.1",""
"33"," Cyprus","-140.1","-82.0","-52.0","-56.0","-61.0",""
"28"," Czech Republic","0.4","3.5","5.4","5.9","6.2","6.5"
"171"," Côte d'Ivoire","","","-3.7","","-1.4","0.2"
"5"," Denmark","3.3","2.1","5.3","5.5","6.0","8.3"
"172"," Djibouti","-648.9","-125.8","","-39.3","",""
"99"," Dominican Republic","","","","","2.7",""
"89"," Ecuador","","","","","-1.3",""
"111"," Egypt","","0.9","1.3","","","1.0"
"117"," El Salvador","-1.0","-1.4","-1.6","-1.0","-1.4","-1.3"
"179"," Eritrea","-16.4","","","","",""
"30"," Estonia","-4.8","-3.7","-4.0","-4.2","-4.4","-3.5"
"23"," Finland","-1.7","0.8","2.2","2.6","3.1","4.4"
"21"," France","4.3","8.6","9.0","9.2","9.0","6.6"
"70"," Georgia","-3.0","-4.1","-7.5","-6.1","-8.3","-5.8"
"4"," Germany","","","","","","2.8"
"139"," Ghana","","","","-1.1","0.1","0.6"
"29"," Greece","","-4.0","-0.4","0.5","-0.8",""
"183"," Guinea","","","","-4.7","-5.1",""
"127"," Guyana","","-14.7","-10.0","-19.3","-16.9",""
"130"," Honduras","","","-1.0","","-0.9","-0.9"
"12"," Hong Kong, China (SAR)","","-19.7","-8.5","-4.9","-3.6","-1.7"
"43"," Hungary","1.0","1.4","1.9","2.2","2.5","3.4"
"9"," Iceland","-21.3","","-10.6","-8.5","-8.2",""
"131"," India","-0.6","-1.1","","-0.7","-0.6",""
"113"," Indonesia","","-0.8","-0.6","","-0.5",""
"69"," Iran (Islamic Republic of)","","-1.1","-1.1","-1.1","-1.1","-1.0"
"121"," Iraq","1.1","","","","",""
"8"," Ireland","-6.5","-3.4","-3.4","0.2","-3.9",""
"19"," Israel","","","-3.0","-2.7","-2.6",""
"26"," Italy","-0.9","0.5","1.5","1.5","1.6",""
"94"," Jamaica","-11.7","","","","",""
"17"," Japan","0.0","1.5","2.6","3.0","3.0",""
"86"," Jordan","0.1","4.1","5.0","3.7","3.7",""
"56"," Kazakhstan","-2.9","-2.7","","","-4.2","-5.1"
"18"," Korea (Republic of)","-2.3","-2.7","-2.1","-1.9","","-1.7"
"120"," Kyrgyzstan","","9.3","4.4","","","1.9"
"138"," Lao People's Democratic Republic","-8.5","-4.6","-2.7","-2.7","-3.0","-3.4"
"44"," Latvia","3.7","-1.4","-2.9","-3.9","-3.7","-2.9"
"76"," Lebanon","4.4","0.4","8.5","9.2","6.9",""
"160"," Lesotho","","","","","-10.8","-11.7"
"15"," Liechtenstein","","","-47.4","-20.9","-16.8",""
"37"," Lithuania","-2.7","-3.0","-2.9","-3.9","-5.1","-5.0"
"20"," Luxembourg","","","-88.9","","-85.9",""
"158"," Madagascar","","-6.5","-4.0","-3.9","-3.6","-2.6"
"170"," Malawi","","","-20.1","","",""
"59"," Malaysia","-4.8","","0.5","0.4","-0.2",""
"175"," Mali","-2.0","","","-5.3","",""
"33"," Malta","-4.5","-2.1","","-6.6","-6.3",""
"0"," Marshall Islands","","","","","-18.0",""
"64"," Mauritius","","","-19.8","-17.3","-13.7","-11.6"
"77"," Mexico","","","","","","-0.6"
"107"," Moldova (Republic of)","-6.9","-5.9","-10.4","-12.4","-11.0","-12.3"
"92"," Mongolia","-3.0","-3.6","-5.4","-5.6","-5.0","-3.9"
"123"," Morocco","-13.8","-11.2","-7.7","","",""
"181"," Mozambique","","","","-1.4","","-1.1"
"145"," Myanmar","","","","-1.1","-1.0",""
"125"," Namibia","","-41.0","","","",""
"144"," Nepal","","","","-7.6","",""
