"Population in multidimensional poverty, intensity of deprivation (%)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","","","","49.9","","","",""
"75"," Albania","","","","","38.3","","","","","",""
"45"," Argentina","39.1","","","","","","","","","",""
"84"," Armenia","","","","","","37.0","","","","",""
"78"," Azerbaijan","","38.2","","","","","","","","",""
"139"," Bangladesh","","","49.3","","","","47.8","","","46.2",""
"54"," Barbados","","","","","","","","33.7","","",""
"52"," Belarus","34.5","","","","","","","","","",""
"103"," Belize","","40.8","","","","","41.2","","","",""
"167"," Benin","","57.4","","","","","","53.3","","",""
"132"," Bhutan","","","","","","43.5","","","","",""
"118"," Bolivia (Plurinational State of)","","","","47.0","","","","","","",""
"81"," Bosnia and Herzegovina","","38.1","","","","","","37.3","","",""
"79"," Brazil","","41.4","","","","","","40.8","40.2","40.0",""
"185"," Burkina Faso","","63.2","","","","61.3","","","","",""
"184"," Burundi","55.2","","","","","54.0","","","","",""
"143"," Cambodia","48.7","","","","","45.1","","","","44.3",""
"153"," Cameroon","","58.7","","","","","54.1","","","",""
"188"," Central African Republic","","57.7","","","","55.6","","","","",""
"186"," Chad","","","","","","62.7","","","","",""
"90"," China","","","","","43.4","","","43.3","","",""
"95"," Colombia","","","","","","42.2","","","","",""
"160"," Comoros","","","","","","","","48.1","","",""
"135"," Congo","","","","","47.1","","","44.7","","",""
"176"," Congo (Democratic Republic of the)","","","","","","53.7","","","","50.8",""
"171"," Côte d'Ivoire","53.9","","","","","","","51.7","","",""
"172"," Djibouti","","47.3","","","","","","","","",""
"99"," Dominican Republic","","","41.9","","","","","","41.6","",""
"89"," Ecuador","","40.9","","","","","","","","39.6",""
"111"," Egypt","","","","40.3","","","","","","37.4",""
"174"," Ethiopia","","","","","","","60.9","","","",""
"109"," Gabon","","","","","","","","43.4","","",""
"173"," Gambia","","54.1","","","","","","","50.5","",""
"70"," Georgia","37.6","","","","","","","","","",""
"139"," Ghana","","","","47.4","","","47.3","","","45.4",""
"183"," Guinea","63.4","","","","","","","57.6","","",""
"178"," Guinea-Bissau","","61.6","","","","","","","","",""
"127"," Guyana","","","40.1","","40.0","","","","","",""
"163"," Haiti","","53.2","","","","","","48.1","","",""
"130"," Honduras","","49.6","","","","","","47.4","","",""
"131"," India","","51.1","","","","","","","","",""
"113"," Indonesia","","","42.4","","","","","41.3","","",""
"121"," Iraq","","41.8","","","","","39.4","","","",""
"94"," Jamaica","","","","","","38.8","","40.5","","",""
"86"," Jordan","","","","","36.8","","","35.3","","",""
"56"," Kazakhstan","","38.5","","","","","36.4","","","",""
"146"," Kenya","","","","","47.0","","","","","46.1",""
"120"," Kyrgyzstan","","37.9","","","","","","36.9","","36.3",""
"138"," Lao People's Democratic Republic","","58.3","","","","","","50.5","","",""
"160"," Lesotho","","","","","45.9","","","","","",""
"177"," Liberia","","","56.1","","","","","","50.8","",""
"102"," Libya","","","37.5","","","","","","","",""
"158"," Madagascar","","","","","54.6","","","","","",""
"170"," Malawi","","","","","","49.8","","","","48.6",""
"105"," Maldives","","","","","37.5","","","","","",""
"175"," Mali","","62.4","","","","","","","58.2","",""
"157"," Mauritania","","","54.9","","","","52.4","","","",""
"77"," Mexico","","40.9","","","","","","39.9","","",""
"107"," Moldova (Republic of)","38.8","","","","","","","38.4","","",""
"92"," Mongolia","42.0","","","","","42.5","","","","",""
"48"," Montenegro","","40.1","","","","","","","38.9","",""
"123"," Morocco","","","","","","","44.3","","","",""
"181"," Mozambique","","","","","56.5","","55.6","","","",""
"125"," Namibia","","","47.5","","","","","","45.5","",""
"144"," Nepal","","50.6","","","","","47.4","","","43.7",""
"124"," Nicaragua","","","49.2","","","","45.6","","","",""
"187"," Niger","","72.5","","","","","","65.0","","",""
"152"," Nigeria","","","","54.7","","","55.2","","54.8","",""
"147"," Pakistan","","","50.0","","","","","","52.0","",""
"114"," Palestine, State of","","","36.9","","","37.4","","","","38.2",""
"87"," Peru","","","","42.7","","42.1","42.2","41.4","","",""
"116"," Philippines","","","","51.9","","","","","51.9","",""
"159"," Rwanda","55.6","","","","","49.7","","","","","47.0"
"92"," Saint Lucia","","","","","","","","34.5","","",""
"142"," Sao Tome and Principe","","","","","45.5","","","","","",""
"162"," Senegal","61.3","","","","","","56.2","","54.0","53.5",""
"66"," Serbia","","38.3","","","","39.9","","","","40.6",""
"179"," Sierra Leone","","","","56.6","","55.8","","","53.0","",""
"0"," Somalia","","61.1","","","","","","","","",""
"119"," South Africa","","","","41.5","","","","39.6","","",""
"181"," South Sudan","","","","","","61.7","","","","",""
"165"," Sudan","","","","","","54.6","","","","",""
"97"," Suriname","","47.4","","","","43.1","","","","",""
"148"," Swaziland","","","","","","43.5","","","","",""
"149"," Syrian Arab Republic","","38.0","","","39.1","","","","","",""
"129"," Tajikistan","39.8","","","","","","","39.0","","",""
"151"," Tanzania (United Republic of)","","","","","","50.4","","","","",""
"87"," Thailand","","38.8","","","","","","","","",""
"82"," The former Yugoslav Republic of Macedonia","42.2","","","","","","38.4","","","",""
"133"," Timor-Leste","","","","","","50.1","","","","",""
"166"," Togo","","52.2","","","","51.2","","","","49.9",""
"65"," Trinidad and Tobago","","38.0","","","","","","","","",""
"97"," Tunisia","","","","","","","","39.3","","",""
"111"," Turkmenistan","","37.0","","","","","","","","",""
"163"," Uganda","","53.6","","","","","51.1","","","",""
"84"," Ukraine","","","34.3","","","","","34.5","","",""
"105"," Uzbekistan","","36.6","","","","","","","","",""
"134"," Vanuatu","","","43.1","","","","","","","",""
"115"," Viet Nam","","","","","","","40.7","","","39.9",""
"168"," Yemen","","50.9","","","","","","","50.1","",""
"139"," Zambia","","","50.7","","","","","","","48.6",""
"154"," Zimbabwe","","45.4","","","","","44.1","","","44.1",""
"ll: Missing indicators on nutrition.kk: The HDRO specifications refer to somewhat modified definitions of deprivations in some indicators compared to the 2010 specifications. See Kovacevic and Calderon (2014) for details.mm: Refers to urban areas only oo: Missing indicator on child mortality.qq: Missing indicator on type of floor.pp: Missing indicator on cooking fuel.nn: Missing indicator on electricity. rr: Missing indicator on school attendance."
