"Population in severe multidimensional poverty (%)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","","","","29.8","","","",""
"75"," Albania","","","","","0.1","","","","","",""
"45"," Argentina","0.5","","","","","","","","","",""
"84"," Armenia","","","","","","0.1","","","","",""
"78"," Azerbaijan","","0.2","","","","","","","","",""
"139"," Bangladesh","","","27.2","","","","21.0","","","16.0",""
"54"," Barbados","","","","","","","","0.0","","",""
"52"," Belarus","0.0","","","","","","","","","",""
"103"," Belize","","1.1","","","","","1.5","","","",""
"167"," Benin","","45.7","","","","","","37.7","","",""
"132"," Bhutan","","","","","","8.8","","","","",""
"118"," Bolivia (Plurinational State of)","","","","7.8","","","","","","",""
"81"," Bosnia and Herzegovina","","0.1","","","","","","0.0","","",""
"79"," Brazil","","0.7","","","","","","0.5","0.4","0.3",""
"185"," Burkina Faso","","67.1","","","","63.8","","","","",""
"184"," Burundi","53.5","","","","","48.2","","","","",""
"143"," Cambodia","26.4","","","","","16.4","","","","11.4",""
"153"," Cameroon","","35.9","","","","","27.1","","","",""
"188"," Central African Republic","","54.5","","","","48.5","","","","",""
"186"," Chad","","","","","","67.6","","","","",""
"90"," China","","","","","1.3","","","1.0","","",""
"95"," Colombia","","","","","","1.8","","","","",""
"160"," Comoros","","","","","","","","14.9","","",""
"135"," Congo","","","","","15.1","","","12.2","","",""
"176"," Congo (Democratic Republic of the)","","","","","","46.2","","","","36.7",""
"171"," Côte d'Ivoire","26.7","","","","","","","32.4","","",""
"172"," Djibouti","","11.1","","","","","","","","",""
"99"," Dominican Republic","","","1.4","","","","","","1.0","",""
"89"," Ecuador","","2.1","","","","","","","","0.5",""
"111"," Egypt","","","","1.5","","","","","","0.4",""
"174"," Ethiopia","","","","","","","67.0","","","",""
"109"," Gabon","","","","","","","","4.4","","",""
"173"," Gambia","","35.9","","","","","","","31.7","",""
"70"," Georgia","0.1","","","","","","","","","",""
"139"," Ghana","","","","15.4","","","12.1","","","11.1",""
"183"," Guinea","68.6","","","","","","","49.8","","",""
"178"," Guinea-Bissau","","58.4","","","","","","","","",""
"127"," Guyana","","","1.5","","1.2","","","","","",""
"163"," Haiti","","32.8","","","","","","20.1","","",""
"130"," Honduras","","13.3","","","","","","7.2","","",""
"131"," India","","27.8","","","","","","","","",""
"113"," Indonesia","","","2.3","","","","","1.1","","",""
"121"," Iraq","","4.3","","","","","2.5","","","",""
"94"," Jamaica","","","","","","0.5","","0.5","","",""
"86"," Jordan","","","","","0.1","","","0.1","","",""
"56"," Kazakhstan","","0.2","","","","","0.0","","","",""
"146"," Kenya","","","","","15.7","","","","","10.7",""
"120"," Kyrgyzstan","","0.3","","","","","","0.1","","0.0",""
"138"," Lao People's Democratic Republic","","35.2","","","","","","18.8","","",""
"160"," Lesotho","","","","","18.2","","","","","",""
"177"," Liberia","","","52.8","","","","","","35.4","",""
"102"," Libya","","","0.1","","","","","","","",""
"158"," Madagascar","","","","","48.0","","","","","",""
"170"," Malawi","","","","","","29.8","","","","24.3",""
"105"," Maldives","","","","","0.1","","","","","",""
"175"," Mali","","66.8","","","","","","","55.9","",""
"157"," Mauritania","","","42.3","","","","29.9","","","",""
"77"," Mexico","","1.6","","","","","","1.1","","",""
"107"," Moldova (Republic of)","0.2","","","","","","","0.1","","",""
"92"," Mongolia","4.2","","","","","2.3","","","","",""
"48"," Montenegro","","0.5","","","","","","","0.0","",""
"123"," Morocco","","","","","","","4.9","","","",""
"181"," Mozambique","","","","","43.2","","44.1","","","",""
"125"," Namibia","","","15.7","","","","","","13.4","",""
"144"," Nepal","","31.6","","","","","18.6","","","9.3",""
"124"," Nicaragua","","","12.9","","","","6.9","","","",""
"187"," Niger","","86.1","","","","","","73.5","","",""
"152"," Nigeria","","","","31.4","","","25.7","","30.0","",""
"147"," Pakistan","","","21.7","","","","","","26.5","",""
"114"," Palestine, State of","","","0.1","","","0.1","","","","0.2",""
"87"," Peru","","","","3.9","","3.1","2.8","2.1","","",""
"116"," Philippines","","","","5.0","","","","","4.2","",""
"159"," Rwanda","60.4","","","","","34.6","","","","","20.5"
