"Population near multidimensional poverty (%)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","","","","16.0","","","",""
"75"," Albania","","","","","7.2","","","","","",""
"45"," Argentina","5.2","","","","","","","","","",""
"84"," Armenia","","","","","","3.0","","","","",""
"78"," Azerbaijan","","11.5","","","","","","","","",""
"139"," Bangladesh","","","18.7","","","","18.8","","","19.6",""
"54"," Barbados","","","","","","","","0.3","","",""
"52"," Belarus","1.1","","","","","","","","","",""
"103"," Belize","","6.5","","","","","6.4","","","",""
"167"," Benin","","18.8","","","","","","16.9","","",""
"132"," Bhutan","","","","","","18.0","","","","",""
"118"," Bolivia (Plurinational State of)","","","","17.3","","","","","","",""
"81"," Bosnia and Herzegovina","","5.3","","","","","","3.2","","",""
"79"," Brazil","","11.2","","","","","","7.4","7.2","6.7",""
"185"," Burkina Faso","","6.9","","","","7.6","","","","",""
"184"," Burundi","8.5","","","","","12.0","","","","",""
"143"," Cambodia","17.5","","","","","20.4","","","","21.6",""
"153"," Cameroon","","14.0","","","","","17.8","","","",""
"188"," Central African Republic","","12.1","","","","15.7","","","","",""
"186"," Chad","","","","","","8.8","","","","",""
"90"," China","","","","","19.0","","","22.7","","",""
"95"," Colombia","","","","","","10.2","","","","",""
"160"," Comoros","","","","","","","","23.1","","",""
"135"," Congo","","","","","29.9","","","26.2","","",""
"176"," Congo (Democratic Republic of the)","","","","","","15.5","","","","18.5",""
"171"," Côte d'Ivoire","22.7","","","","","","","17.9","","",""
"172"," Djibouti","","16.0","","","","","","","","",""
"99"," Dominican Republic","","","10.8","","","","","","20.6","",""
"89"," Ecuador","","9.4","","","","","","","","8.4",""
"111"," Egypt","","","","8.6","","","","","","5.6",""
"174"," Ethiopia","","","","","","","6.7","","","",""
"109"," Gabon","","","","","","","","19.9","","",""
"173"," Gambia","","15.7","","","","","","","21.3","",""
"70"," Georgia","4.1","","","","","","","","","",""
"139"," Ghana","","","","20.3","","","18.7","","","20.5",""
"183"," Guinea","7.7","","","","","","","12.7","","",""
"178"," Guinea-Bissau","","10.5","","","","","","","","",""
"127"," Guyana","","","10.7","","18.8","","","","","",""
"163"," Haiti","","18.1","","","","","","22.2","","",""
"130"," Honduras","","26.6","","","","","","28.6","","",""
"131"," India","","18.2","","","","","","","","",""
"113"," Indonesia","","","15.4","","","","","8.1","","",""
"121"," Iraq","","15.0","","","","","7.4","","","",""
"94"," Jamaica","","","","","","9.1","","9.6","","",""
"86"," Jordan","","","","","4.1","","","1.0","","",""
"56"," Kazakhstan","","4.8","","","","","2.3","","","",""
"146"," Kenya","","","","","29.1","","","","","32.0",""
"120"," Kyrgyzstan","","10.1","","","","","","10.7","","6.5",""
"138"," Lao People's Democratic Republic","","11.1","","","","","","18.5","","",""
"160"," Lesotho","","","","","20.4","","","","","",""
"177"," Liberia","","","12.9","","","","","","21.5","",""
"102"," Libya","","","6.3","","","","","","","",""
"158"," Madagascar","","","","","11.7","","","","","",""
"170"," Malawi","","","","","","24.5","","","","27.2",""
"105"," Maldives","","","","","8.5","","","","","",""
