"Working poor at PPP$3.10 a day (% of total employment)"
"HDI Rank (2015)","Country","1991","1995","2000","2005","2010","2011","2012","2013"
"169"," Afghanistan","","","","89.8","","","",""
"75"," Albania","","","","","","","2.0",""
"83"," Algeria","","19.7","","","","","",""
"45"," Argentina","5.2","5.3","6.4","6.9","5.4","5.1","5.1","5.1"
"84"," Armenia","","","","17.5","16.8","14.2","13.0","13.6"
"78"," Azerbaijan","","17.7","","1.7","","","",""
"139"," Bangladesh","89.2","89.5","88.9","87.6","86.1","","",""
"52"," Belarus","","","5.3","3.1","3.0","2.9","3.1",""
"167"," Benin","","","","","","65.7","",""
"132"," Bhutan","","","","","","","10.9",""
"118"," Bolivia (Plurinational State of)","22.2","","40.1","30.2","","13.0","14.0","12.7"
"79"," Brazil","","18.8","","14.3","","6.2","5.0","5.1"
"143"," Cambodia","","","","","70.3","71.8","",""
"186"," Chad","","","","","","67.0","",""
"38"," Chile","","","6.2","","","4.9","","4.9"
"90"," China","","68.3","","34.2","20.5","16.9","14.8",""
"95"," Colombia","","","17.6","15.6","11.1","10.0","9.1","9.2"
"135"," Congo","","","","70.3","","46.3","",""
"176"," Congo (Democratic Republic of the)","","","","88.3","","","85.3",""
"66"," Costa Rica","2.7","2.1","2.1","1.8","1.6","1.6","1.6","1.7"
"68"," Cuba","","","","5.6","","","",""
"171"," Côte d'Ivoire","","42.7","","","","","",""
"99"," Dominican Republic","","","8.8","10.2","9.0","8.3","8.2","7.8"
"89"," Ecuador","","","46.4","25.3","14.8","13.3","12.8","11.2"
"111"," Egypt","64.2","","54.1","54.6","","","",""
"117"," El Salvador","29.4","32.8","18.7","16.5","13.2","11.3","10.4","9.4"
"135"," Equatorial Guinea","","","","20.4","","","",""
"179"," Eritrea","","","","69.0","","","",""
"174"," Ethiopia","","87.4","","81.0","75.3","","",""
"109"," Gabon","","","","17.7","","","",""
"70"," Georgia","","","","19.3","18.7","19.3","18.9","15.2"
"139"," Ghana","","","","44.1","","","",""
"125"," Guatemala","","","17.2","","","14.4","",""
"183"," Guinea","89.7","","","","","","72.5",""
"178"," Guinea-Bissau","","","","","79.4","","",""
"163"," Haiti","","","","","","","60.5",""
"130"," Honduras","49.9","42.4","","34.1","23.7","26.5","30.5","28.2"
"131"," India","","","","71.8","65.8","","52.9",""
"113"," Indonesia","","","79.6","59.2","44.1","42.0","40.5","38.7"
"69"," Iran (Islamic Republic of)","","","","8.1","","","","3.7"
"121"," Iraq","","","","","","","29.7",""
"86"," Jordan","","","","","12.7","","",""
"56"," Kazakhstan","","","","5.5","5.1","4.2","4.2","3.4"
"0"," Korea (Democratic People's Rep. of)","","","","81.4","","","",""
"120"," Kyrgyzstan","","","68.1","42.0","16.1","15.7","15.4",""
"138"," Lao People's Democratic Republic","","","","","","","84.1",""
"160"," Lesotho","","","","","64.6","","",""
"158"," Madagascar","","","","88.4","90.0","","",""
"170"," Malawi","","","","","87.6","","",""
"59"," Malaysia","","11.5","","","","","",""
"105"," Maldives","","","","","13.0","","",""
"175"," Mali","","","","","80.0","","",""
"157"," Mauritania","","27.0","25.3","","","","",""
"64"," Mauritius","","","","","","","6.1",""
"77"," Mexico","","","17.9","","10.3","","9.0",""
"107"," Moldova (Republic of)","","","38.6","13.1","1.8","1.5","1.5","1.2"
"92"," Mongolia","","31.5","","","8.7","7.9","6.8",""
"48"," Montenegro","","","","1.6","1.6","1.3","1.8","1.8"
"145"," Myanmar","","","","82.6","","","",""
"144"," Nepal","","","","","43.9","","",""
"124"," Nicaragua","","","","33.7","","","",""
"187"," Niger","","","","88.2","","85.1","",""
"152"," Nigeria","","","","","70.0","","72.3",""
"147"," Pakistan","83.6","","","54.1","37.1","","",""
"114"," Palestine, State of","","","","3.1","","","",""
"60"," Panama","21.8","18.3","16.6","15.5","11.3","10.5","10.9","10.4"
"154"," Papua New Guinea","","","","","66.5","","",""
"110"," Paraguay","","14.8","","10.6","8.6","8.4","7.0","6.0"
"87"," Peru","","","32.5","27.7","15.7","14.1","13.1","12.2"
"116"," Philippines","50.9","","40.3","","","","32.0",""
"49"," Russian Federation","","","5.3","4.2","3.7","3.8","3.9",""
"159"," Rwanda","","","88.4","","","82.1","",""
"162"," Senegal","85.7","","","63.2","","63.8","",""
"66"," Serbia","","","","0.6","0.4","","",""
"179"," Sierra Leone","","","","","","81.4","",""
"156"," Solomon Islands","","","","52.6","","","",""
"0"," Somalia","","","","76.7","","","",""
"119"," South Africa","","29.9","30.5","","","16.6","",""
"73"," Sri Lanka","38.8","","","","","","","12.2"
"148"," Swaziland","","35.3","","","","","",""
"151"," Tanzania (United Republic of)","","","89.3","","","","72.6",""
"87"," Thailand","","","13.6","","1.7","1.5","1.5",""
"82"," The former Yugoslav Republic of Macedonia","","","3.6","2.3","","","",""
"166"," Togo","","","","","","65.7","",""
"97"," Tunisia","","16.9","10.1","5.6","4.6","","",""
"71"," Turkey","","","","5.9","3.9","4.3","4.0",""
"163"," Uganda","","","","74.1","","","60.6",""
"84"," Ukraine","","9.6","","3.1","1.9","2.0","2.0","1.9"
"54"," Uruguay","","","","","5.3","5.4","5.4","5.3"
"105"," Uzbekistan","","","70.5","","","","",""
"71"," Venezuela (Bolivarian Republic of)","","10.9","","13.1","","","",""
"115"," Viet Nam","","","","","20.6","","14.6",""
"168"," Yemen","","","","50.5","","","",""
"139"," Zambia","70.6","","","","78.4","","",""
"154"," Zimbabwe","","","","82.9","","","",""
"d: Data refer to the most recent year available during the period specified."
