"Concentration index (exports)"
"HDI Rank (2015)","Country","2010","2011","2012","2013","2014"
"169"," Afghanistan","0.290","0.276","0.263","0.281","0.308"
"75"," Albania","0.197","0.216","0.261","0.289","0.297"
"83"," Algeria","0.523","0.538","0.540","0.541","0.490"
"32"," Andorra","0.166","0.156","0.170","0.195","0.192"
"150"," Angola","0.966","0.960","0.958","0.950","0.958"
"62"," Antigua and Barbuda","0.137","0.750","0.237","0.516","0.597"
"45"," Argentina","0.151","0.152","0.155","0.170","0.186"
"84"," Armenia","0.225","0.226","0.192","0.215","0.223"
"2"," Australia","0.262","0.279","0.256","0.282","0.266"
"24"," Austria","0.059","0.061","0.060","0.061","0.061"
"78"," Azerbaijan","0.864","0.891","0.863","0.862","0.856"
"58"," Bahamas","0.504","0.575","0.525","0.483","0.412"
"47"," Bahrain","0.369","0.365","0.395","0.401","0.369"
"139"," Bangladesh","0.405","0.408","0.396","0.397","0.396"
"54"," Barbados","0.144","0.286","0.148","0.164","0.163"
"52"," Belarus","0.247","0.290","0.293","0.248","0.250"
"22"," Belgium","0.097","0.095","0.098","0.107","0.104"
"103"," Belize","0.360","0.251","0.297","0.244","0.158"
"167"," Benin","0.288","0.290","0.295","0.301","0.283"
"132"," Bhutan","0.346","0.342","0.342","0.355","0.362"
"118"," Bolivia (Plurinational State of)","0.414","0.436","0.455","0.483","0.474"
"81"," Bosnia and Herzegovina","0.108","0.106","0.105","0.104","0.104"
"108"," Botswana","0.571","0.763","0.768","0.808","0.824"
"79"," Brazil","0.157","0.170","0.146","0.151","0.147"
"30"," Brunei Darussalam","0.676","0.677","0.658","0.668","0.646"
"56"," Bulgaria","0.116","0.125","0.140","0.134","0.105"
"185"," Burkina Faso","0.505","0.545","0.529","0.455","0.473"
"184"," Burundi","0.595","0.496","0.446","0.385","0.356"
"122"," Cabo Verde","0.432","0.464","0.398","0.465","0.411"
"143"," Cambodia","0.333","0.332","0.296","0.306","0.317"
"153"," Cameroon","0.368","0.324","0.390","0.427","0.442"
"10"," Canada","0.138","0.151","0.165","0.170","0.179"
"188"," Central African Republic","0.334","0.379","0.358","0.334","0.358"
"186"," Chad","0.851","0.913","0.803","0.925","0.905"
"38"," Chile","0.397","0.379","0.364","0.345","0.334"
"90"," China","0.107","0.099","0.102","0.103","0.101"
"95"," Colombia","0.341","0.405","0.435","0.458","0.459"
"160"," Comoros","0.509","0.526","0.536","0.530","0.547"
"135"," Congo","0.785","0.820","0.845","0.758","0.788"
"176"," Congo (Democratic Republic of the)","0.388","0.403","0.482","0.440","0.400"
"66"," Costa Rica","0.355","0.423","0.454","0.465","0.536"
"45"," Croatia","0.126","0.120","0.104","0.085","0.078"
"68"," Cuba","0.276","0.255","0.239","0.232","0.225"
"33"," Cyprus","0.183","0.202","0.179","0.184","0.209"
"28"," Czech Republic","0.105","0.106","0.107","0.106","0.113"
"171"," Côte d'Ivoire","0.369","0.347","0.338","0.309","0.357"
"5"," Denmark","0.081","0.081","0.089","0.090","0.086"
"172"," Djibouti","0.345","0.293","0.239","0.199","0.173"
"96"," Dominica","0.407","0.380","0.435","0.410","0.404"
"99"," Dominican Republic","0.137","0.126","0.130","0.161","0.178"
"89"," Ecuador","0.501","0.515","0.518","0.525","0.500"
"111"," Egypt","0.152","0.169","0.174","0.158","0.163"
"117"," El Salvador","0.215","0.196","0.193","0.201","0.212"
"135"," Equatorial Guinea","0.751","0.727","0.738","0.676","0.698"
"179"," Eritrea","0.156","0.610","0.585","0.391","0.366"
"30"," Estonia","0.111","0.153","0.136","0.120","0.118"
"174"," Ethiopia","0.373","0.383","0.369","0.328","0.313"
"91"," Fiji","0.199","0.265","0.266","0.176","0.255"
"23"," Finland","0.134","0.134","0.139","0.145","0.135"
"21"," France","0.088","0.083","0.091","0.091","0.092"
"109"," Gabon","0.725","0.753","0.753","0.754","0.628"
"173"," Gambia","0.229","0.252","0.373","0.370","0.340"
"70"," Georgia","0.215","0.231","0.252","0.245","0.222"
"4"," Germany","0.097","0.092","0.094","0.093","0.097"
"139"," Ghana","0.504","0.394","0.422","0.410","0.401"
"29"," Greece","0.214","0.260","0.338","0.345","0.339"
"79"," Grenada","0.188","0.194","0.192","0.193","0.194"
"125"," Guatemala","0.141","0.144","0.144","0.137","0.132"
"183"," Guinea","0.452","0.480","0.505","0.496","0.491"
"178"," Guinea-Bissau","0.932","0.935","0.937","0.936","0.936"
"127"," Guyana","0.444","0.444","0.437","0.502","0.424"
"163"," Haiti","0.509","0.491","0.510","0.504","0.499"
"130"," Honduras","0.221","0.252","0.231","0.225","0.235"
"12"," Hong Kong, China (SAR)","0.196","0.193","0.206","0.229","0.233"
"43"," Hungary","0.141","0.127","0.107","0.105","0.113"
"9"," Iceland","0.455","0.452","0.434","0.448","0.445"
"131"," India","0.164","0.183","0.173","0.184","0.175"
"113"," Indonesia","0.155","0.172","0.170","0.157","0.152"
"69"," Iran (Islamic Republic of)","0.636","0.615","0.623","0.571","0.571"
"121"," Iraq","0.969","0.973","0.980","0.972","0.972"
"8"," Ireland","0.259","0.262","0.253","0.240","0.241"
"19"," Israel","0.273","0.292","0.266","0.276","0.287"
"26"," Italy","0.052","0.053","0.056","0.055","0.054"
"94"," Jamaica","0.425","0.466","0.412","0.441","0.470"
"17"," Japan","0.125","0.115","0.123","0.127","0.128"
"86"," Jordan","0.174","0.180","0.162","0.152","0.156"
"56"," Kazakhstan","0.628","0.607","0.592","0.658","0.668"
"146"," Kenya","0.218","0.202","0.204","0.214","0.194"
"137"," Kiribati","0.641","0.755","0.806","0.861","0.897"
"0"," Korea (Democratic People's Rep. of)","0.188","0.341","0.362","0.373","0.341"
"18"," Korea (Republic of)","0.154","0.152","0.147","0.148","0.148"
"51"," Kuwait","0.687","0.718","0.720","0.689","0.657"
"120"," Kyrgyzstan","0.161","0.153","0.149","0.146","0.175"
"138"," Lao People's Democratic Republic","0.305","0.303","0.287","0.271","0.285"
"44"," Latvia","0.081","0.082","0.088","0.091","0.096"
"76"," Lebanon","0.125","0.161","0.169","0.108","0.122"
"160"," Lesotho","0.291","0.313","0.290","0.342","0.395"
"177"," Liberia","0.410","0.386","0.376","0.466","0.498"
"102"," Libya","0.798","0.798","0.827","0.795","0.765"
"37"," Lithuania","0.188","0.207","0.200","0.187","0.142"
"20"," Luxembourg","0.134","0.133","0.125","0.117","0.107"
"158"," Madagascar","0.182","0.265","0.242","0.233","0.253"
"170"," Malawi","0.534","0.436","0.472","0.470","0.482"
"59"," Malaysia","0.165","0.168","0.164","0.172","0.178"
"105"," Maldives","0.503","0.661","0.749","0.797","0.731"
"175"," Mali","0.621","0.574","0.525","0.531","0.523"
"33"," Malta","0.438","0.434","0.442","0.423","0.375"
"0"," Marshall Islands","0.740","0.710","0.801","0.740","0.760"
"157"," Mauritania","0.489","0.433","0.472","0.509","0.468"
"64"," Mauritius","0.249","0.241","0.238","0.248","0.219"
"77"," Mexico","0.148","0.154","0.146","0.141","0.131"
"127"," Micronesia (Federated States of)","0.912","0.591","0.576","0.522","0.426"
"107"," Moldova (Republic of)","0.145","0.135","0.142","0.151","0.146"
"92"," Mongolia","0.488","0.510","0.519","0.386","0.485"
"48"," Montenegro","0.371","0.389","0.339","0.302","0.234"
"123"," Morocco","0.156","0.168","0.164","0.157","0.157"
"181"," Mozambique","0.497","0.375","0.292","0.263","0.260"
"145"," Myanmar","0.375","0.384","0.397","0.404","0.273"
"125"," Namibia","0.209","0.224","0.252","0.228","0.212"
"0"," Nauru","0.754","0.908","0.942","0.906","0.819"
"144"," Nepal","0.144","0.143","0.142","0.136","0.145"
"7"," Netherlands","0.119","0.102","0.119","0.112","0.097"
"13"," New Zealand","0.161","0.172","0.172","0.198","0.203"
"124"," Nicaragua","0.215","0.219","0.199","0.206","0.221"
"187"," Niger","0.363","0.374","0.355","0.428","0.426"
"152"," Nigeria","0.795","0.787","0.768","0.798","0.758"
"1"," Norway","0.391","0.405","0.406","0.391","0.372"
"52"," Oman","0.565","0.589","0.487","0.473","0.592"
"147"," Pakistan","0.199","0.184","0.183","0.189","0.193"
"60"," Palau","0.869","0.955","0.906","0.930","0.846"
"114"," Palestine, State of","0.170","0.180","0.165","0.161","0.190"
"60"," Panama","0.146","0.149","0.195","0.187","0.167"
"154"," Papua New Guinea","0.379","0.306","0.300","0.314","0.280"
"110"," Paraguay","0.359","0.381","0.325","0.342","0.335"
"87"," Peru","0.277","0.268","0.267","0.252","0.227"
"116"," Philippines","0.313","0.245","0.223","0.220","0.231"
"36"," Poland","0.077","0.072","0.065","0.064","0.065"
"41"," Portugal","0.071","0.075","0.077","0.084","0.079"
"33"," Qatar","0.508","0.522","0.527","0.523","0.519"
"50"," Romania","0.094","0.091","0.091","0.098","0.099"
"49"," Russian Federation","0.366","0.377","0.382","0.377","0.370"
"159"," Rwanda","0.378","0.483","0.400","0.468","0.439"
"74"," Saint Kitts and Nevis","0.356","0.308","0.342","0.317","0.286"
"92"," Saint Lucia","0.320","0.326","0.336","0.334","0.331"
"99"," Saint Vincent and the Grenadines","0.581","0.391","0.286","0.306","0.295"
"104"," Samoa","0.441","0.364","0.270","0.273","0.277"
"142"," Sao Tome and Principe","0.403","0.425","0.468","0.609","0.624"
"38"," Saudi Arabia","0.726","0.768","0.758","0.766","0.738"
