"Private capital flows (% of GDP)"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","","-0.3","0.1","-0.1","0.1","0.0","-0.4"
"75"," Albania","","","-3.2","-3.1","-11.4","-7.3","-6.4","-8.4","-6.9","-11.5"
"83"," Algeria","","","","","-2.2","-1.0","","","",""
"150"," Angola","","","","9.9","5.9","5.0","8.5","10.6","1.8",""
"62"," Antigua and Barbuda","","-6.4","-5.8","-23.2","-7.8","-6.7","-11.3","-11.6","",""
"45"," Argentina","-0.4","-2.5","-2.4","-1.8","-4.8","-1.5","-2.4","-1.5","-1.8","-1.8"
"84"," Armenia","","","-4.5","-5.8","-5.8","-4.2","-4.5","-9.1","-3.0","-4.0"
"2"," Australia","-5.0","-5.8","-3.6","-5.8","-7.5","-6.2","-4.4","-7.2","-4.4","-7.2"
"24"," Austria","","","","4.3","4.5","-1.7","1.4","1.8","2.8","6.7"
"78"," Azerbaijan","","-10.8","","-3.7","-0.4","-0.9","-1.6","-2.5","-5.0","-3.6"
"58"," Bahamas","","","","","-10.7","-7.9","-5.9","-3.9","-2.6","-0.7"
"47"," Bahrain","-11.6","-5.7","-6.0","29.4","-17.8","-18.8","-12.4","-10.4","84.4",""
"139"," Bangladesh","-0.0","0.0","-0.5","-1.1","-0.7","0.2","-1.0","-1.5","-2.0","-1.9"
"54"," Barbados","0.8","-2.0","-2.9","-6.7","-9.6","-11.9","-6.2","1.0","",""
"52"," Belarus","","","-1.3","-0.9","-4.6","-7.9","-1.8","-2.6","-2.3","-0.9"
"22"," Belgium","","","","11.2","-5.4","-1.7","-7.2","-6.4","0.2","-2.7"
"103"," Belize","","-4.0","-16.4","-12.9","-6.3","-5.5","-12.1","-4.7","-8.1","-3.3"
"167"," Benin","-2.9","2.3","-2.3","-1.5","-1.0","1.4","-0.8","-1.6","-3.2",""
"118"," Bolivia (Plurinational State of)","","","-9.4","4.1","-3.8","-4.2","-2.6","-4.3","1.5",""
"81"," Bosnia and Herzegovina","","","","-5.4","-1.4","-2.4","-1.9","-0.9","-2.3","-1.1"
"108"," Botswana","-2.4","0.0","-0.3","2.0","1.4","-7.4","-4.6","3.0","-2.0","4.0"
"79"," Brazil","-0.2","-1.7","-5.7","-2.0","-5.8","-4.8","-4.0","-3.5","-4.5","-4.7"
"30"," Brunei Darussalam","","","","-2.1","10.9","5.2","8.4","7.7","8.0","6.8"
"56"," Bulgaria","","-0.3","-6.2","-9.1","-0.1","-2.0","-0.3","-2.7","-4.8",""
"185"," Burkina Faso","","","","-0.5","1.9","0.5","-2.6","-3.7","-1.7",""
"122"," Cabo Verde","","","-5.9","","-7.3","","-5.6","-1.6","-5.3","-4.3"
"143"," Cambodia","","","-3.7","-5.8","-6.0","-5.9","-9.8","-8.3","-10.0",""
"153"," Cameroon","0.6","0.2","-1.6","-1.5","-0.5","-1.5","-3.1","-2.1","",""
"10"," Canada","-2.7","-1.8","1.4","3.0","-6.4","-5.2","-2.8","-2.1","-1.2","-0.1"
"38"," Chile","-3.2","-3.1","-1.9","-1.6","0.1","-5.9","-1.5","-5.1","-5.2","-3.0"
"90"," China","-0.7","-4.7","-2.8","-3.8","-3.5","-3.4","-2.6","-2.9","-2.2","0.0"
"95"," Colombia","-1.2","-2.3","-2.4","-2.5","-0.7","-3.7","-5.8","-4.1","-6.4","-5.9"
"160"," Comoros","","","","-0.1","-1.6","","","","",""
"135"," Congo","","-5.7","-4.9","-8.4","","","","","",""
"176"," Congo (Democratic Republic of the)","","","","-1.3","2.4","2.3","2.3","-5.6","-4.5","-3.0"
"66"," Costa Rica","-1.8","-2.6","-2.8","-6.2","-5.0","-6.3","-8.7","-9.4","-5.9","-5.9"
"45"," Croatia","","-0.5","-8.1","-0.1","-2.8","-3.9","-6.8","-6.4","-1.4","-0.5"
"33"," Cyprus","-1.5","-0.9","-4.0","-3.1","24.0","-52.1","-18.5","-63.8","-14.7","13.9"
"28"," Czech Republic","","-6.6","-5.2","-6.1","-6.1","-1.3","-4.3","-2.1","0.2","-3.1"
"171"," Côte d'Ivoire","","","","-1.8","-3.1","-1.5","-1.7","-1.9","",""
"5"," Denmark","-1.8","-4.0","6.2","5.8","4.0","-0.5","6.5","1.3","6.2","-2.1"
"96"," Dominica","-7.5","-20.6","-9.3","-6.2","-3.8","-2.4","-5.0","-0.3","",""
"99"," Dominican Republic","","-2.5","-5.1","-4.0","-5.2","-5.2","-4.5","-6.1","-5.8","-8.3"
"89"," Ecuador","","-25.7","9.5","-2.1","0.8","-0.9","-0.7","0.2","-2.3","-2.5"
"111"," Egypt","-1.7","-0.9","-1.5","-9.8","-7.2","5.0","-0.2","-2.4","-0.8",""
"117"," El Salvador","","-1.1","-1.2","-3.1","1.6","-1.4","-5.7","-0.8","-4.4","-1.7"
"30"," Estonia","","-4.0","-7.3","0.0","-4.1","-17.8","-1.7","2.3","-0.3","3.0"
"91"," Fiji","","","","-5.0","-11.2","-13.6","","","",""
"23"," Finland","-2.3","1.5","13.2","3.5","6.6","-3.1","-3.4","-2.6","-4.4","-7.9"
"21"," France","-1.0","-0.8","7.1","2.4","-4.5","-11.0","-1.4","-3.5","0.5","1.4"
"109"," Gabon","","6.0","1.6","-1.9","","","","","",""
"70"," Georgia","","","-4.3","-8.7","-8.0","-7.2","-9.2","-4.9","-9.4","-7.5"
"4"," Germany","1.3","-0.3","0.0","2.3","6.3","-1.1","2.8","6.4","7.4","8.4"
"139"," Ghana","","","","","-10.3","-8.4","-10.5","-8.1","-10.9","-10.2"
"29"," Greece","","","-5.4","-3.3","9.4","9.5","51.8","1.7","3.1","4.9"
"79"," Grenada","-5.8","-6.9","-10.9","-12.6","-8.2","-6.8","-3.6","-10.6","",""
"125"," Guatemala","-0.4","-0.4","-1.4","-1.4","-1.9","-1.3","-3.8","-4.1","-3.5","-1.7"
"183"," Guinea","","","-0.6","","-2.2","-23.0","-10.6","","",""
"178"," Guinea-Bissau","","","","-0.6","-2.6","-1.8","-0.5","-0.4","",""
"127"," Guyana","","-12.5","-8.2","-7.3","-10.0","-7.7","-6.8","-6.8","-11.5","-1.9"
"130"," Honduras","-1.4","","-4.5","-6.0","-5.1","-6.2","-4.6","-10.8","-6.0","-5.5"
"12"," Hong Kong, China (SAR)","","","-14.6","13.2","31.8","0.5","6.6","20.4","6.6","6.9"
"43"," Hungary","","-15.1","-3.7","-8.8","-2.9","-7.7","-3.7","-3.1","0.3","4.9"
"9"," Iceland","-0.5","-2.1","-7.1","-72.1","2.5","2.5","-42.4","7.5","-11.2","20.5"
"131"," India","","-1.0","-1.1","-2.0","-2.8","-1.5","-2.5","-1.8","-3.0",""
"113"," Indonesia","-0.9","-3.9","3.9","-3.3","-3.2","-1.7","-2.5","-2.5","-4.7",""
"121"," Iraq","","","","3.1","-1.5","2.6","1.3","","",""
"8"," Ireland","","","","-9.0","-63.7","-25.8","-8.0","18.8","-6.4","-64.8"
"19"," Israel","1.1","-2.4","-4.6","2.3","1.7","3.5","2.2","0.2","-0.7","1.7"
"26"," Italy","0.1","-3.3","1.9","-1.9","3.7","1.4","-1.2","-0.9","-0.4","6.3"
"94"," Jamaica","","","-3.7","-4.1","1.8","-2.2","0.5","-4.6","-7.6","-15.1"
"17"," Japan","","","1.5","1.3","3.9","-0.9","2.5","-2.6","1.7","6.4"
"86"," Jordan","","","-8.6","-17.0","-9.2","-5.9","-6.3","-10.2","-8.6","-6.8"
"56"," Kazakhstan","","-4.8","-6.7","3.2","-8.2","2.1","2.6","-0.8","-2.3",""
"146"," Kenya","","-0.3","-0.8","0.1","-0.4","-0.6","-0.5","-1.3","-7.4",""
"137"," Kiribati","28.4","","","","4.9","-3.2","4.6","3.5","5.3",""
