"Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64))"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2015"
"169"," Afghanistan","4.4","4.7","4.5","4.3","4.5","4.6"
"75"," Albania","8.9","10.6","11.3","13.2","16.2","18.0"
"83"," Algeria","6.3","6.4","7.1","7.6","8.3","9.1"
"150"," Angola","5.1","5.0","4.8","4.8","4.8","4.6"
"62"," Antigua and Barbuda","12.9","13.5","11.1","11.3","10.9","10.4"
"45"," Argentina","15.0","15.6","16.0","16.1","16.3","17.1"
"84"," Armenia","8.8","13.5","15.6","17.4","15.3","15.3"
"2"," Australia","16.6 k","17.9 k","18.5 k","19.2 k","20.0 k","22.7 k"
"24"," Austria","21.8","22.5","22.6","23.8","26.3","28.0"
"78"," Azerbaijan","6.8 u","7.6 u","8.8 u","9.5 u","8.3 u","7.8 u"
"58"," Bahamas","6.8","7.3","8.2","9.1","9.9","11.7"
"47"," Bahrain","3.3","3.6","3.7","3.2","2.6","3.2"
"139"," Bangladesh","5.7","5.9","6.5","6.9","7.4","7.6"
"54"," Barbados","15.3","16.1","17.3","17.4","18.4","21.3"
"52"," Belarus","16.1","18.8","19.8","21.1","19.6","20.0"
"22"," Belgium","22.5","24.3","25.8","26.1","26.0","28.1"
"103"," Belize","7.9","8.6","7.1","5.8","6.3","5.9"
"167"," Benin","6.6","6.0","5.6","5.3","5.4","5.3"
"132"," Bhutan","5.5","6.4","6.9","6.6","6.9","7.4"
"118"," Bolivia (Plurinational State of)","8.1","8.7","8.9","9.3","10.0","10.6"
"81"," Bosnia and Herzegovina","9.2","12.5","15.7","18.5","18.8","21.7"
"108"," Botswana","5.0","4.9","5.0","5.2","5.4","5.6"
"79"," Brazil","6.6","7.1","7.7","8.8","9.8","11.3"
"30"," Brunei Darussalam","4.2","4.2","3.6","4.3","4.9","6.1"
"56"," Bulgaria","19.8","22.6","24.5","25.3","26.8","30.4"
"185"," Burkina Faso","6.6","6.1","5.5","5.0","4.8","4.6"
"184"," Burundi","6.1","5.9","6.0","5.3","4.8","4.7"
"122"," Cabo Verde","8.7","9.2","9.9","10.1","9.0","7.0"
"143"," Cambodia","5.5","6.0","5.6","5.7","5.9","6.4"
"153"," Cameroon","7.0","6.9","6.6","6.3","6.1","5.9"
"10"," Canada","16.5","17.6","18.4","18.9","20.4","23.8"
"188"," Central African Republic","7.6","7.4","7.3","7.2","7.0","6.8"
"186"," Chad","6.5","6.2","5.9","5.6","5.3","4.9"
"38"," Chile","10.1","10.9","11.8","12.7","14.1","16.0"
"90"," China","8.1","8.8","9.7","10.3","11.1","13.0"
"95"," Colombia","7.0","7.2","7.4","7.9","8.7","10.3"
"160"," Comoros","6.1","5.8","5.6","5.3","5.1","4.9"
"135"," Congo","7.1","6.9","6.7","6.7","6.6","6.8"
"176"," Congo (Democratic Republic of the)","5.7","5.7","5.7","5.7","5.8","5.8"
"66"," Costa Rica","7.8","8.4","9.0","9.8","11.0","12.9"
"45"," Croatia","16.9","20.2","23.2","25.7","26.2","28.6"
"68"," Cuba","13.0","13.5","14.4","15.8","17.9","20.0"
"33"," Cyprus","15.3","15.4","15.2","15.5","16.4","18.2 bb"
"28"," Czech Republic","19.2","19.3","19.7","19.6","21.9","27.0"
"171"," Côte d'Ivoire","5.2","5.3","5.3","5.4","5.6","5.6"
"5"," Denmark","23.2","22.7","22.3","22.9","25.5","29.6"
"172"," Djibouti","4.9","5.2","5.5","5.7","6.0","6.6"
"99"," Dominican Republic","6.8","7.7","8.6","9.3","9.7","10.5"
