"Sex ratio at birth (male to female births)"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2015"
"169"," Afghanistan","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"75"," Albania","1.07","1.07","1.08","1.08","1.08","1.08 hhh"
"83"," Algeria","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"150"," Angola","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"62"," Antigua and Barbuda","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"45"," Argentina","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"84"," Armenia","1.06","1.08","1.15","1.17","1.15","1.13 hhh"
"2"," Australia","1.05","1.06","1.05","1.06","1.06","1.06 hhh"
"24"," Austria","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"78"," Azerbaijan","1.06","1.08","1.13","1.17","1.17","1.14 hhh"
"58"," Bahamas","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"47"," Bahrain","1.05","1.03","1.05","1.03","1.04","1.04 hhh"
"139"," Bangladesh","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"54"," Barbados","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"52"," Belarus","1.06","1.07","1.07","1.06","1.06","1.06 hhh"
"22"," Belgium","1.06","1.05","1.04","1.05","1.05","1.05 hhh"
"103"," Belize","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"167"," Benin","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"132"," Bhutan","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"118"," Bolivia (Plurinational State of)","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"81"," Bosnia and Herzegovina","1.07","1.07","1.07","1.07","1.07","1.06 hhh"
"108"," Botswana","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"79"," Brazil","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"30"," Brunei Darussalam","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"56"," Bulgaria","1.06","1.05","1.06","1.06","1.06","1.06 hhh"
"185"," Burkina Faso","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"184"," Burundi","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"122"," Cabo Verde","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"143"," Cambodia","1.04","1.04","1.04","1.03","1.06","1.05 hhh"
"153"," Cameroon","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"10"," Canada","1.05","1.06","1.05","1.05","1.05","1.06 hhh"
"188"," Central African Republic","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"186"," Chad","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"38"," Chile","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"90"," China","1.09","1.12","1.14","1.16","1.17","1.16 hhh"
"95"," Colombia","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"160"," Comoros","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"135"," Congo","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"176"," Congo (Democratic Republic of the)","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"66"," Costa Rica","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"45"," Croatia","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"68"," Cuba","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"33"," Cyprus","1.07","1.07","1.07","1.07","1.07","1.07 hhh"
"28"," Czech Republic","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"171"," Côte d'Ivoire","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"5"," Denmark","1.06","1.06","1.06","1.05","1.06","1.06 hhh"
"172"," Djibouti","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"99"," Dominican Republic","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"89"," Ecuador","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"111"," Egypt","1.06","1.06","1.06","1.07","1.07","1.06 hhh"
"117"," El Salvador","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"135"," Equatorial Guinea","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"179"," Eritrea","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"30"," Estonia","1.06","1.06","1.07","1.06","1.06","1.06 hhh"
"174"," Ethiopia","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"91"," Fiji","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"23"," Finland","1.05","1.04","1.05","1.05","1.04","1.05 hhh"
