"Education Index"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","0.122","0.179","0.235","0.312","0.371","0.382","0.387","0.392","0.398","0.398"
"75"," Albania","0.569","0.551","0.581","0.611","0.671","0.702","0.715","0.715","0.715","0.715"
"83"," Algeria","0.385","0.431","0.500","0.559","0.625","0.643","0.650","0.658","0.658","0.658"
"32"," Andorra","","","","","0.640","0.641","0.695","0.706","0.718","0.718"
"150"," Angola","","","0.288","0.348","0.418","0.445","0.476","0.478","0.480","0.482"
"62"," Antigua and Barbuda","","","","0.685","0.702","0.693","0.697","0.696","0.695","0.694"
"45"," Argentina","0.628","0.648","0.736","0.751","0.802","0.807","0.808","0.807","0.807","0.808"
"84"," Armenia","0.634","0.632","0.667","0.668","0.726","0.730","0.730","0.730","0.730","0.730"
"2"," Australia","0.873","0.894","0.895","0.905","0.928","0.932","0.936","0.939","0.939","0.939"
"24"," Austria","0.676","0.709","0.731","0.749","0.796","0.802","0.809","0.819","0.820","0.820"
"78"," Azerbaijan","","0.618","0.640","0.652","0.690","0.697","0.704","0.711","0.723","0.723"
"58"," Bahamas","","","0.700","0.709","0.713","0.713","0.713","0.713","0.713","0.715"
"47"," Bahrain","0.574","0.619","0.648","0.681","0.696","0.701","0.706","0.712","0.717","0.717"
"139"," Bangladesh","0.252","0.292","0.345","0.386","0.425","0.443","0.452","0.454","0.457","0.457"
"54"," Barbados","0.625","0.660","0.690","0.718","0.742","0.755","0.773","0.773","0.773","0.773"
"52"," Belarus","","0.630","0.668","0.716","0.828","0.832","0.836","0.834","0.833","0.834"
"22"," Belgium","0.705","0.804","0.835","0.790","0.819","0.825","0.829","0.831","0.841","0.841"
"103"," Belize","0.573","0.617","0.663","0.685","0.695","0.697","0.708","0.704","0.704","0.704"
"167"," Benin","0.201","0.235","0.270","0.334","0.364","0.370","0.386","0.402","0.408","0.414"
"132"," Bhutan","","","","","0.408","0.419","0.431","0.440","0.452","0.452"
"118"," Bolivia (Plurinational State of)","0.528","0.574","0.630","0.631","0.641","0.649","0.656","0.656","0.656","0.656"
"81"," Bosnia and Herzegovina","","","","0.599","0.608","0.650","0.670","0.682","0.694","0.694"
"108"," Botswana","0.461","0.519","0.583","0.606","0.640","0.647","0.654","0.658","0.658","0.658"
"79"," Brazil","0.463","0.523","0.584","0.587","0.617","0.626","0.633","0.664","0.677","0.681"
"30"," Brunei Darussalam","0.588","0.626","0.647","0.679","0.685","0.693","0.710","0.713","0.714","0.716"
"56"," Bulgaria","0.632","0.647","0.677","0.715","0.747","0.752","0.756","0.770","0.778","0.778"
"185"," Burkina Faso","","","","0.173","0.232","0.245","0.254","0.261","0.261","0.262"
"184"," Burundi","0.171","0.181","0.187","0.240","0.361","0.377","0.385","0.395","0.395","0.395"
"122"," Cabo Verde","","","0.422","0.462","0.510","0.514","0.528","0.528","0.531","0.534"
"143"," Cambodia","0.276","0.297","0.319","0.399","0.442","0.447","0.451","0.456","0.459","0.459"
"153"," Cameroon","0.339","0.345","0.360","0.400","0.453","0.473","0.479","0.486","0.493","0.493"
"10"," Canada","0.806","0.822","0.805","0.847","0.865","0.868","0.871","0.875","0.890","0.890"
"188"," Central African Republic","0.214","0.208","0.243","0.276","0.331","0.338","0.338","0.338","0.338","0.338"
"186"," Chad","","","0.182","0.202","0.249","0.270","0.273","0.277","0.280","0.280"
"38"," Chile","0.626","0.627","0.672","0.732","0.754","0.759","0.761","0.780","0.784","0.784"
"90"," China","0.405","0.442","0.481","0.535","0.592","0.586","0.599","0.616","0.631","0.631"
"95"," Colombia","0.433","0.480","0.534","0.546","0.596","0.605","0.612","0.626","0.630","0.630"
"160"," Comoros","","","","0.376","0.434","0.446","0.457","0.469","0.469","0.469"
"135"," Congo","0.455","0.460","0.454","0.460","0.500","0.487","0.516","0.518","0.520","0.520"
"176"," Congo (Democratic Republic of the)","0.263","0.280","0.305","0.352","0.424","0.440","0.442","0.453","0.457","0.475"
"66"," Costa Rica","0.505","0.550","0.593","0.613","0.646","0.654","0.659","0.670","0.684","0.684"
"45"," Croatia","0.498","0.558","0.656","0.710","0.762","0.774","0.780","0.786","0.795","0.798"
"68"," Cuba","0.624","0.621","0.663","0.738","0.826","0.812","0.791","0.780","0.779","0.779"
"33"," Cyprus","0.546","0.655","0.676","0.727","0.760","0.765","0.770","0.779","0.786","0.786"
"28"," Czech Republic","0.692","0.746","0.816","0.849","0.856","0.858","0.856","0.873","0.878","0.878"
"171"," Côte d'Ivoire","0.233","0.259","0.297","0.336","0.376","0.386","0.393","0.399","0.406","0.415"
"5"," Denmark","0.690","0.751","0.809","0.895","0.899","0.930","0.932","0.934","0.923","0.923"
"172"," Djibouti","","0.171","0.188","0.245","0.296","0.308","0.309","0.310","0.310","0.310"
"96"," Dominica","","","0.595","0.606","0.613","0.613","0.614","0.614","0.615","0.618"
"99"," Dominican Republic","0.485","0.525","0.554","0.585","0.603","0.608","0.614","0.617","0.622","0.622"
"89"," Ecuador","0.551","0.565","0.577","0.598","0.617","0.628","0.639","0.665","0.665","0.665"
"111"," Egypt","0.389","0.424","0.468","0.507","0.561","0.567","0.582","0.594","0.597","0.601"
"117"," El Salvador","0.382","0.432","0.495","0.558","0.571","0.577","0.585","0.584","0.584","0.584"
"135"," Equatorial Guinea","","","0.402","0.429","0.438","0.438","0.439","0.439","0.439","0.439"
"179"," Eritrea","","","","0.272","0.267","0.267","0.267","0.267","0.267","0.267"
"30"," Estonia","0.675","0.706","0.815","0.847","0.856","0.872","0.875","0.874","0.876","0.877"
"174"," Ethiopia","","","0.169","0.247","0.305","0.312","0.312","0.315","0.315","0.318"
"91"," Fiji","0.616","0.682","0.686","0.696","0.729","0.741","0.753","0.765","0.777","0.777"
"23"," Finland","0.666","0.741","0.803","0.804","0.810","0.821","0.830","0.838","0.847","0.847"
"21"," France","0.632","0.729","0.762","0.795","0.813","0.816","0.820","0.825","0.832","0.839"
"109"," Gabon","0.473","0.509","0.545","0.575","0.599","0.604","0.608","0.618","0.618","0.618"
"173"," Gambia","0.183","0.210","0.254","0.303","0.336","0.342","0.348","0.354","0.358","0.358"
"70"," Georgia","","","0.717","0.753","0.777","0.779","0.778","0.782","0.794","0.794"
"4"," Germany","0.692","0.759","0.801","0.869","0.899","0.903","0.905","0.910","0.914","0.914"
"139"," Ghana","0.375","0.402","0.427","0.454","0.527","0.538","0.547","0.553","0.546","0.551"
"29"," Greece","0.622","0.639","0.681","0.780","0.803","0.809","0.819","0.826","0.830","0.830"
"79"," Grenada","","","","","0.715","0.718","0.721","0.725","0.725","0.725"
"125"," Guatemala","0.284","0.311","0.358","0.390","0.457","0.470","0.454","0.458","0.508","0.508"
"183"," Guinea","0.121","0.142","0.191","0.251","0.288","0.304","0.316","0.326","0.330","0.330"
"178"," Guinea-Bissau","","","","0.305","0.337","0.341","0.346","0.350","0.353","0.353"
"127"," Guyana","0.507","0.533","0.561","0.587","0.558","0.570","0.568","0.572","0.572","0.568"
"163"," Haiti","0.288","0.316","0.345","0.373","0.399","0.407","0.415","0.419","0.422","0.425"
"130"," Honduras","0.355","0.381","0.418","0.457","0.503","0.507","0.504","0.510","0.518","0.518"
"12"," Hong Kong, China (SAR)","0.640","0.665","0.686","0.762","0.798","0.806","0.809","0.819","0.822","0.822"
"43"," Hungary","0.598","0.701","0.736","0.780","0.818","0.817","0.817","0.841","0.835","0.834"
"9"," Iceland","0.678","0.738","0.789","0.835","0.853","0.868","0.883","0.898","0.906","0.906"
"131"," India","0.311","0.344","0.379","0.429","0.478","0.492","0.506","0.515","0.525","0.535"
"113"," Indonesia","0.389","0.420","0.518","0.552","0.589","0.600","0.610","0.617","0.622","0.622"
"69"," Iran (Islamic Republic of)","0.397","0.483","0.530","0.552","0.637","0.656","0.699","0.701","0.704","0.704"
"121"," Iraq","0.373","0.390","0.411","0.478","0.503","0.511","0.505","0.500","0.500","0.500"
"8"," Ireland","0.661","0.710","0.817","0.879","0.907","0.862","0.878","0.894","0.910","0.910"
"19"," Israel","0.714","0.763","0.820","0.847","0.851","0.858","0.860","0.865","0.870","0.870"
"26"," Italy","0.599","0.656","0.700","0.751","0.780","0.790","0.789","0.793","0.804","0.814"
"94"," Jamaica","0.527","0.565","0.591","0.650","0.673","0.674","0.675","0.676","0.677","0.678"
"17"," Japan","0.691","0.735","0.764","0.787","0.804","0.816","0.825","0.834","0.842","0.842"
"86"," Jordan","0.496","0.644","0.671","0.705","0.694","0.690","0.695","0.694","0.701","0.701"
"56"," Kazakhstan","0.613","0.642","0.692","0.789","0.782","0.791","0.801","0.803","0.805","0.805"
"146"," Kenya","0.376","0.393","0.408","0.463","0.512","0.514","0.515","0.517","0.518","0.518"
"137"," Kiribati","","","","0.588","0.586","0.587","0.590","0.590","0.590","0.590"
"18"," Korea (Republic of)","0.679","0.743","0.794","0.843","0.856","0.860","0.860","0.867","0.867","0.867"
"51"," Kuwait","0.476","0.515","0.595","0.594","0.599","0.601","0.604","0.584","0.611","0.611"
"120"," Kyrgyzstan","0.613","0.594","0.655","0.685","0.688","0.696","0.704","0.713","0.721","0.721"
"138"," Lao People's Democratic Republic","0.288","0.310","0.352","0.390","0.426","0.444","0.455","0.465","0.474","0.474"
"44"," Latvia","0.603","0.623","0.711","0.859","0.833","0.823","0.815","0.826","0.835","0.835"
"76"," Lebanon","","","","0.621","0.631","0.644","0.656","0.656","0.656","0.656"
"160"," Lesotho","0.415","0.430","0.450","0.473","0.492","0.498","0.505","0.501","0.503","0.503"
"177"," Liberia","","","0.408","0.404","0.400","0.407","0.414","0.420","0.423","0.423"
"102"," Libya","0.516","0.568","0.621","0.642","0.634","0.625","0.616","0.616","0.616","0.616"
"15"," Liechtenstein","","","0.716","0.767","0.807","0.819","0.827","0.824","0.818","0.818"
"37"," Lithuania","0.655","0.661","0.767","0.846","0.874","0.872","0.868","0.877","0.882","0.882"
"20"," Luxembourg","0.602","0.639","0.717","0.752","0.780","0.780","0.779","0.778","0.783","0.783"
"158"," Madagascar","","","0.399","0.437","0.484","0.487","0.492","0.492","0.492","0.492"
"170"," Malawi","0.231","0.384","0.381","0.379","0.436","0.442","0.443","0.444","0.445","0.445"
"59"," Malaysia","0.488","0.536","0.619","0.608","0.694","0.691","0.694","0.699","0.700","0.700"
"105"," Maldives","","0.354","0.430","0.451","0.495","0.513","0.531","0.549","0.561","0.561"
"175"," Mali","0.081","0.114","0.168","0.226","0.276","0.283","0.292","0.302","0.312","0.312"
"33"," Malta","0.605","0.622","0.648","0.703","0.726","0.710","0.724","0.770","0.781","0.781"
"157"," Mauritania","0.179","0.241","0.279","0.311","0.338","0.345","0.361","0.373","0.377","0.377"
"64"," Mauritius","0.481","0.520","0.546","0.614","0.664","0.681","0.696","0.703","0.725","0.725"
"77"," Mexico","0.480","0.511","0.544","0.589","0.629","0.633","0.642","0.642","0.649","0.655"
"127"," Micronesia (Federated States of)","","","0.573","0.611","0.649","0.649","0.649","0.649","0.649","0.649"
"107"," Moldova (Republic of)","0.598","0.593","0.617","0.676","0.697","0.700","0.711","0.723","0.725","0.725"
"92"," Mongolia","0.539","0.474","0.534","0.639","0.732","0.734","0.735","0.736","0.738","0.737"
"48"," Montenegro","","","","0.718","0.789","0.792","0.794","0.797","0.797","0.797"
"123"," Morocco","0.254","0.295","0.348","0.408","0.452","0.468","0.488","0.495","0.503","0.503"
"181"," Mozambique","0.131","0.159","0.236","0.316","0.370","0.365","0.363","0.364","0.366","0.369"
"145"," Myanmar","0.244","0.290","0.313","0.341","0.388","0.396","0.403","0.410","0.410","0.410"
"125"," Namibia","0.495","0.528","0.510","0.516","0.526","0.532","0.537","0.543","0.546","0.546"
"144"," Nepal","0.276","0.299","0.330","0.359","0.443","0.458","0.466","0.474","0.475","0.475"
"7"," Netherlands","0.747","0.817","0.825","0.848","0.872","0.894","0.896","0.897","0.897","0.897"
"13"," New Zealand","0.787","0.854","0.869","0.888","0.904","0.907","0.910","0.914","0.917","0.917"
"124"," Nicaragua","0.349","0.398","0.457","0.488","0.520","0.524","0.529","0.536","0.542","0.542"
"187"," Niger","0.082","0.097","0.116","0.146","0.181","0.191","0.199","0.201","0.206","0.206"
"152"," Nigeria","","","","0.424","0.441","0.453","0.464","0.475","0.475","0.477"
"1"," Norway","0.772","0.826","0.888","0.896","0.906","0.908","0.907","0.914","0.916","0.916"
"52"," Oman","","","0.475","0.554","0.642","0.648","0.648","0.648","0.648","0.652"
"147"," Pakistan","0.205","0.232","0.259","0.331","0.363","0.369","0.382","0.386","0.395","0.395"
"60"," Palau","","","0.761","0.767","0.795","0.801","0.807","0.808","0.808","0.808"
"114"," Palestine, State of","","","","0.607","0.650","0.655","0.661","0.654","0.655","0.655"
"60"," Panama","0.538","0.577","0.627","0.659","0.668","0.666","0.676","0.685","0.691","0.691"
"154"," Papua New Guinea","0.207","0.241","0.291","0.347","0.407","0.412","0.417","0.422","0.422","0.419"
"110"," Paraguay","0.431","0.480","0.524","0.580","0.599","0.603","0.606","0.610","0.613","0.613"
"87"," Peru","0.551","0.581","0.636","0.641","0.664","0.668","0.672","0.672","0.671","0.672"
"116"," Philippines","0.519","0.536","0.568","0.598","0.624","0.627","0.631","0.635","0.637","0.637"
