"Gross enrolment ratio, pre-primary (% of preschool-age children)"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015"
"75"," Albania","56","37","44","53","71","77","85","88","89",""
"83"," Algeria","","2","3","6","84","79","","","",""
"150"," Angola","16","","","","92","79","","","",""
"62"," Antigua and Barbuda","","","57","","84","83","89","","75",""
"45"," Argentina","","","60","64","68","68","70","72","",""
"84"," Armenia","47","32","26","31","","48","52","","",""
"2"," Australia","70","94","","86","79","95","108","109","",""
"24"," Austria","72","79","80","89","101","101","104","101","102",""
"78"," Azerbaijan","20","19","19","25","26","27","25","26","23",""
"58"," Bahamas","","","16","","","","","","",""
"47"," Bahrain","","35","33","38","51","52","51","53","55",""
"139"," Bangladesh","","","17","11","13","25","","32","",""
"54"," Barbados","","","69","84","79","76","","","84",""
"52"," Belarus","94","83","84","103","102","105","103","106","105",""
"22"," Belgium","103","118","110","121","120","121","120","119","118",""
"103"," Belize","23","28","26","28","43","43","47","49","50",""
"167"," Benin","3","3","6","5","17","19","19","19","21",""
"132"," Bhutan","","1","1","1","2","5","9","13","17",""
"118"," Bolivia (Plurinational State of)","31","38","49","","48","55","60","63","",""
"81"," Bosnia and Herzegovina","","","","10","18","18","18","15","15",""
"108"," Botswana","","","","16","","","16","18","",""
"79"," Brazil","","","","","","54","56","86","",""
"30"," Brunei Darussalam","","53","47","60","69","70","72","73","74",""
"56"," Bulgaria","69","61","71","80","84","84","83","83","83",""
"185"," Burkina Faso","1","1","","","3","3","4","4","4",""
"184"," Burundi","","","1","2","10","8","8","9","7",""
"122"," Cabo Verde","","","","61","72","76","73","72","70",""
"143"," Cambodia","5","5","6","10","12","12","15","15","18",""
"153"," Cameroon","12","10","12","18","25","27","30","","34",""
"10"," Canada","62","64","63","68","71","72","73","74","",""
"188"," Central African Republic","","","","3","","6","","","",""
"186"," Chad","","0","","","2","2","1","1","",""
"38"," Chile","84","100","85","82","107","113","116","123","128",""
"90"," China","21","24","42","","57","64","73","78","82",""
"95"," Colombia","","28","42","46","54","55","","","",""
"160"," Comoros","","","2","","","","","23","",""
"135"," Congo","3","1","3","7","12","12","14","","",""
"176"," Congo (Democratic Republic of the)","","","","","3","4","4","4","4",""
"66"," Costa Rica","30","36","46","72","77","77","76","52","53",""
"45"," Croatia","28","36","45","46","62","63","63","","61",""
"68"," Cuba","90","88","103","107","99","101","104","91","98",""
"33"," Cyprus","40","59","57","65","79","79","78","79","77",""
"28"," Czech Republic","106","90","90","117","102","104","104","104","105",""
"171"," Côte d'Ivoire","1","2","3","","","4","5","6","7",""
"5"," Denmark","96","81","91","95","100","100","102","97","96",""
"172"," Djibouti","1","1","1","","","5","4","","","5"
"96"," Dominica","75","","71","98","105","102","95","99","85",""
"99"," Dominican Republic","","24","34","32","38","37","39","42","44",""
"89"," Ecuador","43","48","64","76","136","146","155","56","62",""
"111"," Egypt","5","7","11","17","28","25","24","25","30",""
"117"," El Salvador","","31","46","60","66","66","67","69","72",""
"135"," Equatorial Guinea","","","26","35","","70","68","","",""
"179"," Eritrea","","4","6","14","15","16","16","15","",""
"30"," Estonia","91","65","92","119","87","87","88","","",""
"174"," Ethiopia","2","1","2","2","4","5","18","","25",""
"91"," Fiji","13","12","11","","","","","","",""
"23"," Finland","34","38","49","60","68","70","70","81","80",""
"21"," France","108","113","112","117","109","109","108","108","109",""
"109"," Gabon","","","","","","37","","","",""
"173"," Gambia","","","","","29","","","31","34",""
"70"," Georgia","","26","38","57","","","","","",""
"4"," Germany","","84","99","97","114","115","116","110","111",""
"139"," Ghana","36","","51","63","","112","113","115","115","121"
"29"," Greece","56","61","69","67","74","77","76","76","",""
"79"," Grenada","","68","","87","99","","","94","91",""
"125"," Guatemala","","34","50","58","70","68","63","64","66",""
"183"," Guinea","","","","9","12","15","","","",""
"178"," Guinea-Bissau","","","3","","6","","","","",""
"127"," Guyana","","88","96","85","77","85","94","","",""
"130"," Honduras","12","14","22","34","47","48","47","47","47",""
"12"," Hong Kong, China (SAR)","79","82","","93","107","109","","","",""
"43"," Hungary","85","79","80","87","85","87","87","87","84",""
