"Primary school teachers trained to teach (%)"
"HDI Rank (2015)","Country","2000","2005","2010","2011","2012","2013","2014","2015"
"83"," Algeria","95","99","","","","","95",""
"32"," Andorra","","","100","100","100","100","100",""
"150"," Angola","","","","47","","","",""
"62"," Antigua and Barbuda","47","","55","65","60","","70",""
"84"," Armenia","","77","","","","","",""
"78"," Azerbaijan","100","100","100","100","100","100","100",""
"58"," Bahamas","","","92","","","","",""
"47"," Bahrain","","","","80","82","82","83",""
"139"," Bangladesh","","53","","58","","","",""
"54"," Barbados","","73","58","55","","","100",""
"52"," Belarus","","100","100","100","100","100","99",""
"103"," Belize","54","","45","48","54","49","61",""
"167"," Benin","65","","43","47","","","68",""
"132"," Bhutan","95","94","","","","","",""
"118"," Bolivia (Plurinational State of)","91","","","","","","",""
"108"," Botswana","89","93","","","100","99","",""
"30"," Brunei Darussalam","","84","87","88","88","85","87",""
"185"," Burkina Faso","","88","","","95","86","",""
"184"," Burundi","","88","","94","95","","92",""
"122"," Cabo Verde","","78","90","92","95","","96",""
"143"," Cambodia","","98","99","99","100","100","100",""
"153"," Cameroon","","63","57","67","79","","",""
"188"," Central African Republic","","","","57","58","","",""
"186"," Chad","","","70","68","66","65","",""
"95"," Colombia","","","100","100","100","97","98",""
"160"," Comoros","","","","55","","75","",""
"135"," Congo","65","","87","79","80","","",""
"176"," Congo (Democratic Republic of the)","","","92","90","94","","95",""
"66"," Costa Rica","","97","89","91","","94","94",""
"45"," Croatia","100","","","","","","",""
"68"," Cuba","100","100","100","100","100","100","100",""
"171"," Côte d'Ivoire","99","","","100","99","83","85",""
"172"," Djibouti","","","","100","","96","","100"
"96"," Dominica","65","60","61","58","61","65","65",""
"99"," Dominican Republic","","88","85","85","85","","",""
"89"," Ecuador","87","71","84","84","84","85","82",""
"111"," Egypt","","","","","","72","73",""
"117"," El Salvador","","95","","96","","","",""
"135"," Equatorial Guinea","","","45","49","","","",""
"179"," Eritrea","72","84","94","91","90","80","",""
"174"," Ethiopia","","","39","48","57","","95",""
"91"," Fiji","","","","100","100","","",""
"173"," Gambia","75","","","90","","82","84",""
"70"," Georgia","95","","","","","","",""
"139"," Ghana","69","58","","51","52","53","52","55"
"79"," Grenada","67","75","65","","","54","63",""
"183"," Guinea","","68","","80","75","74","75",""
"178"," Guinea-Bissau","35","","39","","","","",""
"127"," Guyana","51","57","66","68","70","","",""
"12"," Hong Kong, China (SAR)","88","93","96","96","96","96","96",""
"69"," Iran (Islamic Republic of)","","","","","","100","100",""
"121"," Iraq","100","","","","","","",""
"94"," Jamaica","","","","","","70","96",""
"56"," Kazakhstan","","","","","","","100","100"
"146"," Kenya","","99","","","","","",""
"137"," Kiribati","","94","","","","","",""
"51"," Kuwait","100","100","","78","78","77","79",""
"120"," Kyrgyzstan","46","58","68","70","72","","",""
"138"," Lao People's Democratic Republic","77","83","95","94","97","98","98",""
"76"," Lebanon","","","","","","91","97",""
"160"," Lesotho","74","64","63","66","68","72","76",""
"177"," Liberia","","","","56","","","56",""
"158"," Madagascar","","","","","21","19","17",""
"170"," Malawi","","","96","88","92","91","",""
"59"," Malaysia","98","92","95","96","96","97","99",""
"105"," Maldives","66","64","77","81","77","90","86",""
"175"," Mali","","","","52","","","",""
"157"," Mauritania","","100","100","100","100","","91",""
"64"," Mauritius","100","100","100","100","100","100","100",""
"77"," Mexico","","95","96","","","","",""
"107"," Moldova (Republic of)","","","","","","","94",""
"92"," Mongolia","100","100","98","99","99","100","100",""
"123"," Morocco","","100","100","100","100","100","100",""
"181"," Mozambique","","60","76","80","84","87","90",""
"145"," Myanmar","63","76","100","","","","100",""
"125"," Namibia","85","92","96","","","","",""
"144"," Nepal","","31","74","81","93","92","94","94"
"124"," Nicaragua","73","77","75","","","","",""
"187"," Niger","97","85","97","96","97","46","50",""
"152"," Nigeria","","50","66","","","","",""
"52"," Oman","100","","","","","","",""
"147"," Pakistan","","86","84","83","84","85","84",""
"114"," Palestine, State of","100","100","100","100","100","100","100",""
"60"," Panama","75","90","92","92","90","","",""
"110"," Paraguay","","","","","92","","",""
"116"," Philippines","","","","","","100","",""
"159"," Rwanda","53","94","91","98","96","95","",""
"74"," Saint Kitts and Nevis","61","58","62","64","65","65","68",""
"92"," Saint Lucia","","80","87","87","88","89","79",""
"99"," Saint Vincent and the Grenadines","","","84","","85","83","76",""
"142"," Sao Tome and Principe","","","","","","","33","34"
"38"," Saudi Arabia","","","","","","100","100",""
"162"," Senegal","","46","48","","65","","70",""
"66"," Serbia","","","","70","56","","",""
"63"," Seychelles","81","","","87","","","",""
"179"," Sierra Leone","","","","48","55","57","",""
"156"," Solomon Islands","","","58","54","54","63","65",""
"119"," South Africa","68","","","","","","",""
"181"," South Sudan","","","","44","","","",""
"73"," Sri Lanka","","","82","82","","80","",""
"165"," Sudan","","58","","","","","",""
"97"," Suriname","","","","","","94","6",""
"148"," Swaziland","90","91","79","78","68","79","",""
"149"," Syrian Arab Republic","89","","","","","","",""
"129"," Tajikistan","","","93","94","94","94","100","100"
"151"," Tanzania (United Republic of)","","100","94","","97","99","",""
"87"," Thailand","","","","","","","100",""
"166"," Togo","","","77","71","82","76","",""
"101"," Tonga","","","","","","100","97",""
"65"," Trinidad and Tobago","76","","","","","","",""
"97"," Tunisia","","","","","100","100","100",""
"163"," Uganda","","85","","95","","","",""
"84"," Ukraine","99","100","100","100","100","","",""
"42"," United Arab Emirates","","60","","","100","100","100",""
"105"," Uzbekistan","","","100","100","","","",""
"115"," Viet Nam","80","93","98","99","100","","100",""
"139"," Zambia","","","","","93","","",""
"154"," Zimbabwe","","","","","88","86","",""
"d: Data refer to the most recent year available during the period specified."
